,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
44,3,2.0,730.7,sqft,2940.9,sqft,98103,689099.2
45,7,5.0,2669.6,sqft,5891.6,sqft,98136,791057.9
46,7,4.0,2783.6,sqft,3474.3,sqft,98112,1390230.6
47,3,4.0,999.0,sqft,4998.4,sqft,98122,764998.1
48,5,4.0,1562.1,sqft,7406.8,sqft,98125,541631.6
49,5,4.5,1392.9,sqft,7567.6,sqft,98105,792918.5
50,4,3.5,1281.6,sqft,1021.0,sqft,98122,704016.6
51,5,7.5,3812.9,sqft,8515.5,sqft,98105,5000086.0
52,7,5.0,2232.6,sqft,0.3,acre,98168,537079.0
53,7,5.0,2746.0,sqft,5873.7,sqft,98136,821192.8
54,4,2.0,1010.0,sqft,3468.8,sqft,98117,527673.1
55,6,4.0,2050.8,sqft,4716.2,sqft,98117,925194.9
56,5,3.5,2493.6,sqft,4003.3,sqft,98119,1181360.8
57,4,4.0,1227.6,sqft,1227.7,sqft,98103,709126.7
58,4,4.0,2603.2,sqft,6399.4,sqft,98103,1458381.4
59,6,4.5,2004.9,sqft,0.9,acre,98117,1462064.4
60,4,3.0,2177.5,sqft,6617.5,sqft,98178,836654.6
61,6,3.5,2543.6,sqft,6959.2,sqft,98115,1827630.7
62,5,2.5,1250.1,sqft,4676.2,sqft,98106,586978.2
63,8,5.5,8102.2,sqft,0.3,acre,98102,3962788.3
64,5,2.0,1773.6,sqft,0.3,acre,98168,500038.9
65,4,2.0,805.9,sqft,6097.1,sqft,98118,514292.2
66,5,5.5,1392.4,sqft,1212.7,sqft,98103,601052.4
67,5,3.0,1066.8,sqft,5948.0,sqft,98106,571100.4
68,5,4.5,2381.9,sqft,0.2,acre,98146,1532458.8
69,4,6.0,2164.7,sqft,881.7,sqft,98109,1587832.1
70,5,3.0,1403.8,sqft,0.9,acre,98144,840735.4
71,5,4.5,2549.7,sqft,3225.9,sqft,98118,968591.3
72,3,3.5,1717.9,sqft,6560.0,sqft,98115,840320.5
73,2,3.0,574.9,sqft,0.5,acre,98109,342660.7
74,4,7.5,1478.9,sqft,1281.6,sqft,98103,589706.2
75,4,2.0,809.4,sqft,4970.8,sqft,98118,470432.8
76,4,4.0,1837.1,sqft,4563.2,sqft,98105,866268.7
77,5,4.0,1966.5,sqft,0.2,acre,98133,732996.8
78,5,5.5,2720.9,sqft,3930.6,sqft,98106,912155.9
79,5,2.0,2016.5,sqft,4659.6,sqft,98105,1145609.0
80,4,4.5,1676.9,sqft,3.7,acre,98118,657422.5
81,5,6.0,2786.2,sqft,3928.3,sqft,98119,1429368.3
82,4,4.0,1742.3,sqft,6101.6,sqft,98118,912229.9
83,5,5.0,1392.1,sqft,490.8,sqft,98117,720752.6
84,5,4.0,2230.4,sqft,4930.3,sqft,98119,1366436.8
85,6,5.5,2859.4,sqft,7458.0,sqft,98117,1713337.5
86,6,6.0,2950.8,sqft,5431.3,sqft,98119,1522404.3
87,5,2.0,1030.8,sqft,3502.8,sqft,98106,367984.9
88,5,4.0,1611.3,sqft,4608.6,sqft,98199,842814.0
89,5,4.5,2464.2,sqft,7692.9,sqft,98136,1029564.2
90,3,2.5,2650.7,sqft,5615.4,sqft,98102,1098198.9
91,5,3.5,2442.9,sqft,4658.1,sqft,98115,1502206.9
92,11,6.0,3545.2,sqft,5796.3,sqft,98116,1244651.2
93,6,3.0,1854.4,sqft,5604.7,sqft,98168,589481.9
94,3,2.0,745.0,sqft,0.2,acre,98133,352547.7
95,5,5.5,2422.4,sqft,3725.4,sqft,98108,1121111.9
96,6,5.0,2066.2,sqft,5013.1,sqft,98115,1086887.1
97,6,3.5,1905.0,sqft,4513.2,sqft,98116,936745.2
98,4,5.5,1272.4,sqft,951.6,sqft,98117,670092.4
