statement,polarity,subjectivity
Paying $250 a year is insane. They have to bring these prices down. Why would anyone everpay that much if they we not forced to do so? It’s greed.,-0.20138888888888892,0.4222222222222222
"I also use the cartridges, they are not color coded. I don’t want to make the mistake by usingsativa instead of Indica & vice versa",0.0,0.0
I prefer lower THC levels and higher Terpenes,0.25,0.5
The cash requirement for payment is outdated and restrictive and can put buyers at risk forbeing robbed.,-0.4000000000000001,0.6333333333333334
I like the variety but the flower is twice the price I can get on the street,0.0,0.0
"I do think the medical cost is a bit high, if it wasn’t for the sales I wouldn’t be able to afford. Iwould like to see medical cost go down a bit more especially because we have to pay thelicense fee. I think recreational should be what medical is now and medical should decrease.",0.11160493827160495,0.3282098765432099
The price is very high compared to the black market. It's extremely expensive. A quarter isdouble the price.,-0.15288888888888888,0.6117777777777778
"The Columbia Care dispensary in Smyrna Delaware is where I go. They had a program calledadoptive family program! I was enrolled in it for 2 1/2 years and then all of a sudden in June1921 they had all new employees except maybe one or two and the new manager said I did notget my paperwork back in time. The manager that I've been there since the store opened in2019 used to sit down with me and help me fill it out because of my hands I can't write toogood anymore and it hurts to write. So there for I didn't qualify anymore! So I asked whybecause when I was enrolled in the program it was the employees of Columbia Care whoenrolled me in it because I would come in with change and only be able to buy a pre-roll I getdisability I have a lot of health issues such as lupus, Renaud's, Scleroderma, osteoporosis,atrial fib, rheumatoid arthritis, fibromyalgia. I have so many health issues!. It's just me and mygrandson and I have to pay all bills of course rent electric phone he air condition car insurance.It is such a hardship on my family to pay for it but I'm not sure what to do and if I even canpay for it anymore because it's putting me in a financial hole and I can't afford that as I said Iget disability the amount doesn't change every month! If there was a way for my insurance tocover it or I could get back into a program like that because I got an email from Cher well carewell which is the program that does the adopt a family and they told me that the program wasending so according to them I was still enrolled in this program but the new manager stoppedme from receiving the medication every month as I was getting. If someone could get back tome on this issue I would really appreciate it. I answered all your questions in your survey tothe best of my knowledge. Thank you! Sincerely, Doris Hawkins",0.15498035914702582,0.3981341189674523
Had my medical card while living in Florida. There is a huge difference in Delaware the productis not as good (very dry) not the same varieties and the prices are almost twice as much thanflorida.,0.20222222222222222,0.43416666666666676
"I sincerely think this does help people, however, when you get the government involved,they’re good at one thing taxing people. So somehow we need to keep our government out of itbecause all they are trying to do is pad, their pocketbooks and get rich off the dumbasses thatwe are in Society.",0.525,0.6166666666666667
"I’m thankful for the card - the products have really helped with my pain & assistance withsleep, as I have experienced insomnia.",0.5,0.55
"Medical cannabis has helped my anxiety better than the pill that was originally prescribed tome. I never want to go back to the pill, I’d rather keep the flowers.",0.21875,0.3125
www.CannabisCulture.com where it all came from and the reason it is legal today.,0.2,0.2
"After visiting states who have has legal marijuana for many years, I am excited too have thesame opportunity. Legalizing lends competition which means balanced pricing and betterproduct. My choices now are limited and are not even close to what I saw in other states andwhat I can get illegally.",0.0630952380952381,0.41130952380952374
I thank you very much this medication helped me a lot cut down on expenses like pills I hopeto continue YouTube,0.05222222222222221,0.2744444444444445
Delaware dispensary needs better quality flower,0.5,0.5
You should extend active medical cards til adult use goes into effect. A renewal for me is 200dollar doctors appointment and then the application fee…. All for what may be just a couple ofmonths…. It would nice to know I was covered.,0.14166666666666666,0.475
Please do not mix the medical stores with the recreational stores.,0.0,0.0
"home delivery would be awesome, that would guarantee I would renew my card. if you have acard you can get weed delivered for free from dispensary or public location",0.4666666666666666,0.6222222222222222
I want to continue to be able to buy medical marijuana without having restrictions. My doctorwill back me up on this. I’m trying to get off my one opioid medication.,0.16666666666666666,0.20833333333333334
I'm wondering why my parents doctors won't support the fact that they are in pain and are notallowed to smoke marijuana and ease their stress,0.0,0.0
I have never used my medical card. the prices are too high and the edibles are WAY too weak.I can buy from elsewhere and cut a 50mg gummy into 4 pieces if I choose too. Medicalmarijuana it ridiculously weak in the gummy category. it's just not worth it and I feel like Iwasted my money on getting a medical marijuana card...and there is extrememly limited variet.,-0.07273809523809523,0.23464285714285715
Thank you. This stuff helps me be able to work and provide for my family. (PD),0.5,0.625
"I hear in other states recreational marijuana is much more expensive than medical marijuana.Therefore, I intend to stick with medical marijuana.",-0.025,0.315
"The only thing that truly concerns me about medical marijuana in Delaware is the cost, if thereis some way we can find to bring the cost down, the medical marijuana program in Delawarewould be perfect.",0.1688888888888889,0.45777777777777773
Medical marijuana is the only thing to help my pain. And I have tried everything before decidingto get my medical card!,0.0,0.3333333333333333
My only concern is the availability of product. It seems to have been an issue with other stateswho have recreational cannabis,-0.0625,0.6875
"I like to know that what I am getting is safe I use the tintures, edibles, and flowers. Movingaway from flowers to just tinctures and edibles",0.5,0.5
my concerned is supply of the medical marijuana because demand is going to skyrocket,0.0,0.0
Thank you for this survey. I hope it benefits us Medical patients.,0.0,0.0
Thank you again,0.0,0.0
"I have liver failure and see a doctor from Jefferson University in Philadelphia. Medicalmarijuana is the only thing that has helped me. The doctor's there agree as well as thepsychologist. They are against smoking because of the mold spores that could be on flowerproducts. Unfortunately, I cannot check that on a label. My tolerance is super high because ofthe way the liver breaks it down. I would really like to be involved in a study. I have learned alot in the past few years and especially after my over a month long stay in the hospital atJefferson. It was very difficult because they wanted to let me use my medical marijuana, but Icouldn't, because it is illegal to cross state lines with it. Therefore, I did not take that chanceand was in pain for a month until I got home and back on my regimen.",-0.12055555555555555,0.4528472222222222
Allow access to higher strength edibles Extend how often you have to renew your card or letevery one buy the same strength products with or without a card,0.125,0.3125
Could not answer question #14. All of the above would be my answer.,0.0,0.1
Waiting for the cost of medical cannabis to come down. I’m in the fight of my life fightingpancreatic cancer and the need of two other medications costing me almost $ 400.00 per refillfor each medication (my part) I find it difficult to also include my choice of cannabis for painrelief.,-0.1951388888888889,0.41597222222222224
I’ve read many reports on opioids and addiction. I strongly feel cannabis is the best painrelief for me and I would like to see the price come down. Thank you!!,0.42256944444444444,0.4555555555555556
"IM concern about the THC.I went to a cannibas store and didnt have to show my card ,also Icant smoke marijuana I have sarcoidosis. Where can I go to get edible where I can use mycard",0.0,0.0
The employees at the medical dispensaries need more knowledge since the items areexpensive and it’s it or miss if the purchase will take the pain away.,0.25,0.25
Would appreciate more convenient locations for medical cannabis.,0.25,0.25
Only use ointment,0.0,1.0
The statistic regarding the average price of a gram of marijuana is significantly false.Whomever published that information may want to add a disclaimer which states that price isbefore all state and company taxes as well as which product they are referring to because Ipay almost 9 x’s that price for vape at 100 per gram. I have heard that some surroundingstates such as Maryland offer much lower prices.,0.10625000000000001,0.49374999999999997
I'm happy I don't have to depend on narcotics to relieve my anxiety and pain,0.8,1.0
I think legalizing cannabis for recreation use is going to change the dispensaries. I have anmedical card shouldn't be paying same amount as someone who has none,0.0,0.125
The products I have purchased has helped with the pain I have felt from my spinal stenosis.,0.0,0.0
You’re welcome,0.8,0.9
I am hopeful that the adult use legalization with bring the cost down for medical use cannabis.,-0.018518518518518528,0.1962962962962963
concerned that marijuana would be laced with illegal substances use if pesticides and waste ofmoney. Please preserve those who use it to treat a disabilitating disease,-0.35,0.25
More cbd rich products. It seems like these sell out immediately.,0.4375,0.625
"Hoping it doesn't make the wait times longer, when picking up at the dispensary.",0.0,0.0
Dont have any money,0.0,0.0
Delaware needs to have more of a choice of different strains of flower than what is being soldat the dispensaries.Only have access of the same strains sometimes can causes medicalpeople to lose their interest in dispensaries,0.16666666666666666,0.4083333333333334
I've actually stopped my medical marajuana for thissame reason. I also know others who did the same. When there's really not a lot of choicessooner or later the medical marajuana doesn't work in the same way,-0.014285714285714287,0.07857142857142858
"Since I got my Medical Marijuana card and can use the products to treat my back pain, it hasbeen a Godsend for me. I am so happy!",0.3333333333333333,0.3333333333333333
Please make the edibles alot more potent.,0.5,0.5
"I think the state should put more qualifications on the medical list like anxiety( not cbd rich),ibs, ocd, Pennsylvania is making it really easy to get your medical card and soooo manypeople are signing up for it through the state bc they have more qualifications. Delaware shoulddo the same for the medical patients because it is proven to help with so many things.",0.24166666666666667,0.3072916666666667
I prefer to purchase my medical marijuana from a place that specifically sells for that purpose.I do feel it would be nice to have more places available to purchase it in North Wilmington. Ilike that I have advisors who work with me to find what will help my specific condition and nottake something that could make me worse instead of better. I’m very sensitive to THC incertain strains and avoid those that cause paranoia.,0.21625,0.515625
edibles are too low in THC. I'd like to see 25 or 40 MG per dose.,0.0,0.3
"more testing by ""big pharma"" would help people understand more about marijuana and couldalso help figure out dosage to a better exact science like other medications",0.2708333333333333,0.37083333333333335
"More reasonable prices all around for medical cannabis would be a good start. Somedispensaries run ""killer"" sales so why can't the price even out?",0.35,0.42500000000000004
"It has been my experience that homegrown cannabis is much, much better than any thedispensary offers. The edible’s and Vape are good, the actual cannabis in bud is pretty and thepre-roll is good. Homegrown, not illegal, is better.",0.375,0.47500000000000003
"Prices of adult use in Delaware should be at least 10% lower than medical use, and medicaluse should be lowered by 10% in its prices. As a patient, I have no access to any live resincartridge or disposable products as someone who uses vapes more often. Also lack products",0.08727272727272728,0.33999999999999997
"such as liquid live resin or live rosin vapes, its time Delaware dispensaries start selling CrescoLabs products. Flower is alright but we are tired of smoking the same distillate everyday..",-0.05454545454545456,0.48750000000000004
Medical Cannabis is expensive. There should be a law passed that health insurancecompanies cover the cost just as we are allotted a certain amount every two weeks. As we areusing it as most likely the prescription drugs didn't work or had damaging effects to other partsof out bodies.,0.014880952380952384,0.5244047619047619
I would more instead of some meds if it cost less. Off SS it is hard now at the cost of food etcto buy it.,0.013888888888888895,0.36944444444444446
Hopefully one day insurance will pay for my medical marijuana,0.0,0.0
Cannibus has been a miracle for the pain I have from cancer and trigeminal neuralgia,0.0,0.0
"If I was using flower, I would have many strains from which to choose. I use only MCTtinctures. I have a choice of only Indica or Sativa. I would like more choices.",0.25,0.75
I think it’s a shame I have to renew my card yearly and have to pay a 100$ fee just for thedoctor to sign the paper when he’s already getting paid from insurance for my visit. Anotherway to line their pockets at patients expense.You don’t pay the doc extra to write you opiates.Why should you have to for cannabis? And if you have a degenerative deteriorating disabilitythat won’t get better you should only have to get 1 card in your lifetime.,0.16666666666666666,0.5333333333333333
"I use tinctures and edibles as actual medicine. It is important to me that the safety and qualityare maintained. I hope that I do not have to pay so much for a medical card, but if keeping oneallows me to continue to receive the same quality of products as I currently do from First StateCompassion then I would probably continue to pay.",0.12142857142857144,0.3083333333333334
"In my opinion, medical cannabis can effectively treat many physical and mental healthconditions, yet as with any drug it should be used with knowledge and discretion, for thepatient's sake and those around them. Now that cannabis has been legalized in DE for adultuse my main concern would be the potential for abuse among those who are young orinexperienced regarding it's potency and psychoactive effects. The law enforcementcommunity will most likely benefit from an increase in dui and other criminal cases from thosewho are reckless enough to ""medicate"" before or while driving. In closing, I'd say thatrecreational cannabis is a bad thing for many people due to the potential for abuse/ accidents,any negative side effects that it may cause, and the fact that smoking and vaping areunhealthy regardless of substance. Once adult use sales begin in Delaware I'll be sure to takeextra caution when venturing out on the roadways and into the stores because some folks actcrazy when they're under the influence and end up doing foolish regrettable things andsometimes don't even remember what they did. Handcuffs, rides in police vehicles, jail cells,and prison food are all great ways to fix that wild misbehavior.",0.08768115942028985,0.5035541752933058
"I should be able to use my own trusted doctor to prescribe medical MJ, but instead the state ofDE forces me to pay outlandish fees to total strangers on the internet who are ""approved"" toprescribe. I will let my card expire unless Delaware changes how it handles medical users.",0.22000000000000003,0.475
We need recreational cannabis to stop attacking us a whole. Prices need to be lower causepeople who actually need this stuff can barely afford it. We have should have more variety topick from not the same 6 strains every time,0.15,0.24500000000000002
"Cannabis is the only medication I can take to relieve pain in my lower back so that I can sleepat night, that doesn’t destroy the lining in my stomach. Hopefully I can renew my prescriptionevery year",-0.06666666666666667,0.3333333333333333
lower prices,0.0,0.0
I believe medical.patients should have more access to products. Medical patients shouldcontinue to have exclusive places to purchases their medical marijuana products.,0.16666666666666666,0.16666666666666666
"Insurance companies should be required to accept Medical Marijuana scripts & be used towarddeductibles. No reason insurance companies should be allowed to have such power overpeople, their health, money & Dr wishes.",0.0,0.25
203,0.0,0.0
The dispensary,0.0,0.0
My primary care physician does not know I use cannabis.,0.4,0.5
"Only my endocrinologist, she",0.0,1.0
strongly approves and was the MD that suggested it.,0.4333333333333333,0.7333333333333333
Recreational shouldn’t be equal to medical or no one will see the point in getting the medicalcard.,0.0,0.125
"I wish my medical marijuana was accepted by my insurance. I buy 4-6 vapes a year for nightpain and a capsule that is half CBD and half THC. With the little use I do, it still is a high costfor those on a limited income.",-0.07204365079365077,0.25269841269841264
MORE DISPENSARIES,0.5,0.5
LESS POLITICS AND MORE PUBLICATION OF THE SCIENTIFICSTUDIES PROVING THC's efficacy!,0.22916666666666669,0.2833333333333333
so much better than using opioids.,0.5,0.5
I believe there should be an expiration date as all medication’s should have one.,0.0,0.0
"Outdoor marijuana, is good because less chemicals found in it.",0.26666666666666666,0.33333333333333337
"Require terpenes on packaging and require them to be accurate. Should know what’s beingconsumed other than simply THC and CBD content, which is often close to nil anyway (CBD).",0.09166666666666669,0.45515873015873015
I’m concerned that legalization of adult use will mean less product for people who need itmedically. Plus people who want medical cards and pay for that should pay way less moneythan public adult use. I wish all insurance companies would cover it as medications.,-0.06369047619047619,0.2125
This has really helped with my RLS and sleep issues.,0.2,0.2
thank you for making medical marijuana available… very helpful with my symptoms!,0.125,0.15
I strongly feel that the local medical operators (locally owned) should be able to sell rec. duringthe transition and after the regulations are finalized.,0.18666666666666668,0.27166666666666667
Medical Cannabis needs more specification: i.e. best strain for inflammation; best strain forpain; best strain for anxiety. Now it is described by how it feels almost like it is recreational.,0.7,0.28
Will Medicare and/or Medicaid one-day cover Medical Cannibis? This way medical Marijuanapatients will not need to do a renewal application.,0.0,0.0
Medical Marijuana has been very very effective in treating several of my ailments and shouldbe available to all adults. I am happy that it is finally legal since it its an amazingly helpfuldrug.,0.3971428571428572,0.5
I just hope that when it becomes legal for adults that the supply goes down..I amkeepingbsticked up because of this..its kind of scarey because I use it daily atleast 3 timesper day!,0.07500000000000001,0.525
"It would be nice if it weren't so expensive, because it helps people.",0.04999999999999999,0.85
I feel like the amount you can carry is going o high no reason for people to carry an ounce atone time unless just left store. If you have that much your dealing it.,0.12,0.24666666666666667
No idea what #19 is referring to.,0.0,0.0
Medical Marijuana is great for chronic pain and stress. Also Sleep habits.,0.4,0.375
I prefer marijuanamost before over counter meds or pharmaceutical,0.0,0.0
"Once the recreational use for cannabis comes into play, I think the price of medical cannabisneeds to be evaluated vs recreational cannabis. I don't think you can charge a much higherprice for one or the other. If price is significantly higher for medical then people will just go therecreational route.",0.065,0.215
"Question - once adult use is available legally, will a medical card still be necessary?",0.13999999999999999,0.38
Would like to try edibles as the vape smoke bothers my lungs. Former lung CA survivor.,0.0,0.0
"Bad reaction to big pharma. Initially resistant to provider recommendation for MMJ, butunderstand it's critical role in my daily maintenance to curtail side effects of big pharmamedications.",-0.11666666666666664,0.2777777777777778
"I think the price of medical Marijuana needs to be lowered, especially for senior citizens andveterans.",0.0,0.5
It is important to keep up with news and facts on medical cannabis.,0.2,0.5
"I need to keep my mmj med card currently in order to keep my healthcare job in Delaware,where I live and work. I also want to be able to grow cannabis in my home. But I live inDelaware, and the powers that be want to prohibit my freedom to grow my medicine of choicein my home. I actually am pretty sure that the medical pot industry has a lot to do with that.It's like a sick joke really. Just another fucking annoying drug dealer to have to deal with so Ican legally keep my job when I get drug tested----OH and the people who make all the drugtests are making a pretty penny too. They're all the same.",0.050649350649350645,0.5535409035409036
It helps I have chronic back pain plus a knee replacement my vape helps me thru the day,0.0,0.0
I hope that the medical my will continue to be separate. I’m afraid if I have to compete withrecreational users there will be li Ed and they will run out of product. I live in a resort area and Idon’t want to compete with tourists from out of state for my product.,-0.15454545454545454,0.4666666666666666
