Tweet,Recreational Use,Pain,Sleep,Mental Health,High,Diet/lite,Comparison,Whole plant cannabis,Safety,Regulation,Adverse Event,Questionable production method,Public health warning,FDA warning,Dismissing warning,Crackdown,Gummy/Edible,Cart,Hangover,Positive commentary,negative commentary
" Delta-8 Cannabis Products Can Cause Scary Health Effects, the CDC and FDA Warn - Self",,,,,,,,,1,,,,1,1,,1,,,,,
What delta 8 carts ya’ll like? I haven’t found one that hit.,,,,,,,,,,,,,,,,,,1,,,
" From January 1 to July 31, 2021, 660 delta-8 THC exposures were recorded with the new product code, and one additional case was recoded as a delta-8 THC exposure from October 2020. Eighteen percent of exposures (119 of 661 cases) required hospitalization, and 39% (258 of 661",,,,,,,,,,,,,,,,,,,,,
" Manufacturing of delta-8 THC products may occur in uncontrolled or unsanitary settings, which may lead to the presence of unsafe contaminants or other potentially harmful substances.",,,,,,,,,1,,,1,,,,,,,,,
" The natural amount of delta-8 THC in hemp is very low, and additional chemicals are needed to convert other cannabinoids in hemp, like CBD, into delta-8 THC (i.e., synthetic conversion). Concerns with this process include:",,,,,,,,,1,,,,,,,,,,,,
" you could smoke delta 8 for 3 straight hours and not get high...

gtfo",,,,,1,,,,,,,,,,,,,,,,
ik im a lil late but i cant believe delta 8 is a thing,,,,1,,,,,,,,,,,,,,,,,
" But the delta 8 is just weed with less TCH, u get high but not as much as regular weed…",,,,,,,1,,,,,,,,,,,,,,
New report from CDC: More adverse effects reported from delta-8 THC products (not delta-9). Murky legal status and may be mistaken for CBD products.,,,,,,,,,,1,1,,,1,,,,,,,
i think my delta 8 triggered my rapid  cycling again and it's worth it because i feel happy for the first time all week,,,,1,,,,,,,,,,,,,,,,,
Delta 8 edibles aren’t shit to me apparently,,,,,,,,,,,,,,,,,1,,,,
But they are catching on to delta 8 and a lot of states are banning it looool,,,,,,,,,,1,,,,,,1,,,,,
Delta 8 is here to stay.,,,,,,,,,,1,,,,,,,,,,,
Delta-8 is riding high in the legal cannabis market. How long can it keep this up?,,,,,,,,,,1,,,,,,,,,,,
" I may not use mj myself, but I fully support it's use, for any indication or condition science supports, and for recreational purposes. Closest thing to it I've used is delta 8, and that's strong enough for me. they've been fighting for years",1,1,,,,,,,,1,,,,,,,,,,,
delta 8 has changed my life *turns flatbill backwards and pushes it towards my eyebrows*,1,,,,,,,,,,,,,,,,,,,,
" Big pharma were the ones who originally sold cannabis as medicine. They aren't getting paid, they're just saying the safety of delta-8-thc is currently unknown.",,,,,,,,,1,,,,1,,,,,,,,
Delta-8 is awesome,,,,,,,1,,,,,,,,,,,,,,
" Edibles are possibly being tainted with delta-8.

“The health effects of delta-8 THC have not yet been researched extensively and are not well-understood. However, delta-8 THC is psychoactive and may have similar risks of impairment as delta-9 THC.”",,,,,,,,,,,,,,,,,,,,,
" Delta-8 is relatively safe as it's much weaker than delta-9-thc (which is what gets you high when you smoke weed). It's because it is weaker that people take more than they can chew and end up facing serious issues. Do it in moderation, people.",,,,,,,1,,1,,,,,,,,,,,,
I mean delta 8 is just legal mid,,,,,,1,,,,1,,,,,,,,,,,
Delta 8 is great if you get from reputable companies. So much misinformation from people trying to ruin the market is terrible. The product is definitely helpful for quite a lot of people. As with anything know what you are getting into before jumping in blindly.,,,,,1,,,,,,,1,,,,,,,,,
So-called ‘edibles’ might be infused with dangerous delta-8 THC marijuana,,,,,,,,,,,,,,,,,1,,,,
" Seriously!! Shit, only really specific hemp strains with CBg and delta 8 THC help me now because at some point my body decided your standard THC will make my spine feel like it’s imploding.",,,,,,,,,,,1,,,,,,,,,,
" It's true. Authorities didn't anticipate CBD being converted to Delta 8 THC, nor did they anticipate synthetic cannabinoids. They should have. 

There ought to be federal laws that, among other things, legally regulate whole cannabis and cannabinoids.",,,,,,,,,1,1,,,1,,,,,,,,
" With CBD I pretty much have to take it as directed. If I take a little extra after a few days I get dizzy. I really enjoy CBC and CBG-CGN combo. Delta 8 THC can be a bit of a hit or miss, but at lower dosages it's very nice.",,1,,,,,,,,,,,,,,,,,,,
I rather die then trust a nigga that only smokin delta 8,,,,,,,1,,,,,,,,,,,,,,
The Michigan Poison Control Center also reported two cases of severe adverse events to delta-8 THC in two children who ingested a parent’s delta-8 THC-infused gummies purchased from a vape shop.,,,,,,,,,1,,,,1,,,1,1,,,,
" “The Georgia Hemp Company can help us all feel happy and laugh more by enjoying their CBD and Delta 8 products, and by sponsoring The Audio Fun Bag, that’s coming up next on 680 The Fan! 

Who knows who Hoyt and Los will be making fun of today ",,,,,,,1,,,,,,,,,,,,,,
" While THC products are legal in many states, the FDA now stresses that no delta-8 products have been evaluated by the organization. The lack of regulated marketing of the product—and lack of warning labels—means that consumers may not know what they are getting themselves in for.",,,,,,,,,,,,,,1,1,,,,,,
Seriously look for Delta 8. Delta 10 is good too. High with less paranoia.,,,,1,1,,,,,,,,,,,,,,,,
these delta 8 tablets are way too stron g,,,,,,,,,,,,,,,,,1,,,,
" For context, regularly eat 80 mg of Delta 8 at night with zero problems. In case you’re worried
",,,,,,,,,,,,,,,,,1,,,,
Delta 8 is very bad for me so I stick with THC. That shit can easily end me up in a ward.,,,,1,,,,,,,,,,,,,,,,,
I’ll slap the shit outta my homies smoking delta 8,,,,,,,1,,,,,,,,,,,,,,
" So I didn't mention my trip last night listening to Yes's Tales from Topographic Oceans. It was the wildest most vivid dream-like experience I've ever had.

I have to find things to focus on while on my Delta 8 trips or I freak out. This time I chose music and BOY I have THOUGHTS",,,,,1,,,,,,,,,,,,,,,,
" A federal crack down on the legal high delta-8 THC might be underway 
@_chrisroberts
 
@ForbesLife",,,,,,,,,,,,,,,,1,,,,,
I tried some Delta 8 vape carts recently and they were amazing.  There are a few reputable companies producing stellar vape carts.,,,,,,,,,,,,,,,,,,1,,,
" if it weren't for COVID-19, highly unlikely the Delta-8 THC boom would have lasted as long as it did without drawing unwanted attention from the feds, but Tuesday's FDA/CDC warnings likely the first move in a federal gov't crackdown.",,,,,,,,,,,,,,1,,,,,,,
I enjoy smoking Delta 8. Plugs were getting weird. The high is excellent and I can get the oil or bud anytime.,,,,,1,,,,,,,,,,,,,1,,,
The Feds Are Coming For Delta-8 THC https://distinctmoney.net/2021/09/17/the-feds-are-coming-for-delta-8-thc/,,,,,,,,,,1,,,,1,,1,,,,,
got some Delta 8 dabs from the local smoke shop and man this shit isn't bad at all,,,,,,,1,,,,,,,,,,,,,,
I take legal delta-8 thc edibles and cartridges! It gives similar affects to regular thc except the paranoia. So a message potent thc in states that have yet to legalize thc,,,,,,,1,,,1,,,,,,,1,1,,,
really cant wait to see in like 2.5-10 years depending what horrible side effects etc they find out are associated w delta 8. or when it comes out that its processed entirely by satanists and pedophiles and its a mind control drug,,,,,,,,,1,,,,,,1,,,,,,
Delta 8 gives me same anxiety as weed so not for me. CBD good for chilling and helps w my fucked up shoulder pain,,1,,1,,,1,,,,,,,,,,,,,,
I'm a Delta 8 connoisseur myself. And I can assure you it is perfectly safe. Just don't give it to your children and don't give it to your pets! Plain and simple!,,,,,,,,,1,,,,,,1,,,,,,
" i recommend delta 8 gummies, they didn’t interfere with my bud tolerance break!",,,,,,,,,,,,,,,,,1,,,,
" People should also be aware that products labeled as hemp or CBD could contain delta-8 THC and cause psychoactive effects. Parents should keep products that contain THC or CBD away from children and pets, officials said.",,,,,,,1,,,,,,1,,1,,,,,,
" Nearly 40% of these cases involved children younger than 18. The FDA notes that manufacturers of delta-8 THC products often package and label the products in ways that appeal to children, including selling the products as gummies, chocolates, cookies or candies.",,,,,,,,,1,,,,1,1,,,,,,,
Ooooh I got a delta-8 pre roll and yum and am happy Relieved face and no paranoia,,,,1,,,,,,,,,,,,,,,,,
" It blows my mind that delta 8, which is CBD extracted into distillate, and then soaked in acid to produce a THC-like reaction is sold in every state, and buying Organic raised, pesticide free, cannabis is illegal.",,,,,,,1,,1,,,,1,,,,,,,,
" This combination of working out (lots of punches) for stress and Delta 8 for every three days or so, has helped me more in 2 weeks than 8 years on Dexadrine for my ADHD problems with concentration and focus I swear",,,,1,,,,,,1,,,,,,,,,,1,
There is a place that sells legit Delta 8 within walking distance from my house. I think my stress level might be dropping rather soon.,1,,,1,,,,,,,,,,,,,,,,,
Delta 8 is the supreme mf,,,,,,,1,,,,,,,,,,,,,1,
Delta 8 is a similar to CBD but stronger,,,,,,,,,,,,,,,,,,,,1,
buzzing off the delta 8,,,,,1,,,,,,,,,,,,,,,,
" ""They"" are telling me Delta 8 is very spooky and I'll want to kill people if I use it. (They are mostly dipshits though, who watched Reefer Madness far too many times thinking it was a documentary.)",,,,,,,,,1,,1,,,,1,,,,,,
Delta 8 is just legal mid,1,,,,,1,1,,,,,,,,,,,,,,
girl stay AWAY from delta 8. it's literally like this generations spice. it's dangerous.,,,,,,,,,,,,,1,,,,,,,,
" I just took 25mgs of Delta 8 on accident. 

Brooooooooo. That was a big mistake. 

I’m about to be paranoid.",,,,1,1,,,,,,1,,,,,,,,,,
Delta 8 warning,,,,,,,,,,,,,1,,,,,,,,
Delta 8 THC is apparently dangerous now because people are taking more than they should because they think its regular CBD. Please don't take away something because some people are stupid.,1,,,,1,,1,,1,,,,,,,,,,,,
This Delta 8 kinda slappin though,,,,,1,,,,,,,,,,,,,,,1,
" I have been taking CBD for 4 months now and it has helped quite a bit.

Decided to try Delta 8 THC supplements last night, and it is crazy how much different my stress levels are. Wouldn't take it during a weekday though...thats for sure.",,,1,1,,,,,,,,,,,,,,,,1,
If you smoke delta 8 you’re a loser,,,,,,,,,,,,,,,,,,,,,1
delta 8 hit me kinda hard .. just riding in the car and I can’t stop looking at myself in the front camera. Am I real?,,,,,1,,,,,,1,,,,,,,,,,
I got delta 8 gummies and all they do is put me straight to sleep. It’s the weirdest high ever,,,1,,1,,,,,,,,,,,,1,,,,
I can’t because of my job but the Delta 8 gummies are legit! But it’s always good to take a long break from those too.,,,,,,,,,,,,,,,,,1,,,1,
You do know all that stuff on the counter is hemp right? Delta 8 hemp is safe.,,,,,,,,1,,,,,,,,,,,,,
" Tbh after yesterday’s delta 8 high, I’m good with finishing that pack I have and not messing with it anymore. The high was really nice, but I hated how much of my day was wasted in that stupor.",,,,,1,,,,,,1,,,,,,,,,,1
" The FDA and CDC can't regulate and tax, the delta 8 cannabinoid. So they slander and discredit its potential for helpful and healing properties. Alcohol has all the side effects of use as the Delta- 8 THC that are stated in the caption. So why not make alcohol illegal as well?",1,,,,,,1,,,,,,,1,1,,,,,1,
Delta 8 is trash,,,,,,,,,,,,,,,,,,,,,1
how delta 8 legal that shit had me FRIED,,,,,1,,,,,,,,,,,,,,,,
I recently cut way back. It was daily for me for quite a while. Delta 8 is very therapeutic for me. Does what alcohol cannot.,,,,1,,,,,,,,,,,,,,,,,
" The wildest thing to me about Delta 8 that was an unexpected side effect of it, is that I actually get to sleep. Like ACTUALLY drift off naturally. I haven't had to take one melatonin gummy or ZzzQuil to knock myself out since starting D8.",,,1,,,,,,,,,,,,,,1,,,,
delta 8 edibles are without question the worst dr*g i have ever done. both experiences have been truly wretched and irredeemable in any way. y’all who do these on the reg need to find god,,,,,1,,,,,,1,,,,,,1,,,,1
I've been taking delta 8 which has resulted in me sleeping more and drinking less alcohol but surely this isn't what's worrying the alcohol lobby,,,,,,,,,,,,,,,,,,,,,
Y’all sleeping on delta 8,,,,,,,1,,,,,,,,,,,,,,
That Delta 8 was no joke.,1,,,,,,,,,,,,,,,,,,,,1
" People really be going to Vape shops here in Florida getting fucking delta 8 weed, if you want to get high do get delta 8 it’s load of shit and it’s stanky ass weed",1,,,,1,,1,,,,,,,,,,,,,,
i can’t believe ppl actually buy those “delta 8” carts at vape shops,,,,,,,,,,,,,,,,,,1,,,
im on some delta 8 hybrid such a smooth feeling,,,,,,,,,,,,,,,,,,,,1,
I have not tried Delta 8 maybe I should !,1,,,,,,1,,,,,,,,,,,,,,
Delta-8 THC in the news again,,,,,,,,,,,,,1,,,,,,,,
" In weed wary Indiana, getting caught with marijuana can mean big fines & jail time. But a loophole in 2018’s Farm Bill allows vendors to distribute delta-8, a compound that offers up a legitimate high to people who want it.",,,,,,,,,,,,,,,1,1,,,,,
negative commentary,,,,,,,,,,,1,,,,,,,,,,
How tf is delta 8 legal but not thc I deadass got high,,,,,,,,,,,,,,,,,,,,,
" My edibles are delta 8 and I don't have any concerns for them. Sometimes it's touch and go, sometimes I get barely high and other times I am on another planet somewhere. Lol",,,,,1,,,,,,1,,,,,,1,,,,
im never doing delta 8 again,,,,,,,,,,,,,,,,,,,,,1
delta 8 is fantastic!!,,,,,,,,,,,,,,,,,,,,1,
Delta-8 THC Products Are a Growing Concern for FDA - National Law Review http://bit.ly/3EAqnF8 #cannabis,,,,,,,,,,,,,,1,,,,,,,
" I'm a big fan of this delta 8 stuff, and honestly have no idea how it is still legal here.",,,,,,,,,,,,,,,,,,,,1,
There’s delta 8 and 10 but honestly I don’t like how it messes with my ADHD meds anyways. I’d rather actually fix the problem than put a bandaid on it.,,,,1,,,1,,,,,,,,,,,,,,
CDC warns delta-8 cannabis products can get you higher than thought—and cause adverse health effects,,,,,,,,,,,1,,1,,,,,,,,
Y’all trust that delta 8 shit?,1,,,,,,1,,,,,,,,,,,,,,
I honestly love delta 8. I know a lot of oui'd smokers have mixed opinions on it but I personally find it to be a good alternative. It gives me less of a high obviously but i still get the effects!,,,,,1,,1,,,,,,,,,,,,,1,
" ""CBD can be synthetically converted into delta-8 THC, as well as delta-9 THC and other THC isomers,  with a solvent, acid, and heat to produce higher concentrations of delta-8 THC than those found naturally in the cannabis plant.""",,,,,,,,,,,,1,1,,,,,,,,
my brain still hasn’t recovered from me taking the subway on 100+mg of delta 8 edibles,1,,,,1,,,,,,,,,,,,,,,,
that delta 8 kinda get me right,1,,,,1,,,,,,,,,,,,,,,1,
" I get delta 8 carts here in south Carolina sometimes, they get the job done for a bit",,,,,1,,,,,,,,,,,,,,,,
" Healthcare Providers and Substance Use Researchers Should be Aware of the Increase in Adverse Events Linked to Delta-8 THC Products (see recent CDC advisory below)

https://emergency.cdc.gov/han/2021/han00451.asp via 
@CDCgov",,,,,,,,,1,1,1,1,1,,,,,,,,
" Got a free sample of Delta-8, did not like it, Not one bit. Paranoia, on edge, and bad vibes. I threw the rest of the bag away after that. Stick with what you know.",,,,1,,,1,,,,,,,,,,,,,,1
The Feds Can't Outlaw Delta-8 THC!,,,,,,,,,,,,,,1,1,1,,,,,
Legal loophole allows Madison businesses to sell marijuana-like drug Delta-8 THC - UW Badger Herald,,,,,,,,,,,,1,1,,,,,,,,
Only very occasionally now using a pax vaporizer. I take the delta 8 gummies fairly frequently now though. I'm a big fan due to the ability to function properly while using them. Used to smoke a ton back in the day.,,,,,,,1,,,,,,,,,,1,1,,,
" Ashwagandha & Kenna are two I highly recommend. Mugwort can help with focus if you aren't one it makes sleepy.

Other 2 are more controversial - kratom or maeng da & hemp flower with delta 8.",,,,,,,1,,,,,,,,,,,,,,
" delta 8 decided to hit right before my math lecture.

this will be fun",1,,,,1,,,,,,,,,,,,,,,,
From here on out I’m only boofing delta 8.,,,,,1,,,,,,,,,,,,,,,,
" Vaped almost exclusively for about 4 years. Tried to quit many times but now I'm on Delta 8 vapes.

I feel more creative, funny, chill when I'm high.  Trying not to overly rely on it anymore",,,,1,1,,1,,,,,,,,,,,1,,,
So we just gonna talk about y’all sellin delta 8 aka fake weed at smoke shops in Louisiana? The state really wants to sell weed huh,,,,,,,,,,,,1,,,,,,,,,
What the hell is the deal with Delta-8? Is it synthetic BS?,,,,,,,1,,,,,,,,,,,,,,
Hide yo gummies. The Feds Are Coming For Delta-8 THC.,,,,,,,,,,,,,,1,,,1,,,,
" Delta-8 makes me just as nervous as the covid shot .... 

 I said what I said ",,,,,,,1,,,,,,,,,,,,,,1
" Yeah, CBD and Delta 8 ain’t the same. Yikes.",,,,,,,1,,,,,,,,,,,,,,
" Delta 8: it’s like weed, but you have to smoke/vape/eat twice as much.",1,,,,,1,1,,,,,,,,,,,1,,,
i want the opposite of delta 8 i wanna be anxious and freak out and have a bad time,,,,1,,,,,,,,,,,,,,,,,
this delta 8 cart tastes like how a portapotty smells,,,,,,,,,,,,,,,,,,1,,,1
CBD helps my sore knee.  If you wanna truly sleep get you some delta 8 indica,,1,,,,,1,,,,,,,,,,,,,,
So-called 'edibles' might be infused with dangerous delta-8 THC marijuana - Food Safety News,,,,,,,,,,,,,,1,,,,,,,
" Delta-8 THC poisonings? The CDC’s warning isn’t what you
think.
 Calm down. You're not poisoned. You're high. This is what happens when people can't buy safe, regulated products.

  The post Delta-8 THC poisonings? The CDC&rsquo;s warning isn&rsqu https://postoplan.app/Njg2NA",,,,,,,,,,,,,1,,1,,,,,,
Bro I hit a joint of delta-8 and passed the fuck out like 15 minutes after smoking it,,,1,,,,,1,,,,,,,,,,,,,
" If any of you guys fuck with Delta-8/CBD, these are the SHIT. I have never had a product this good.",,,,,1,,,,,,,,,,,,,,,1,
Tried delta 8 yesterday it’s straight,,,,,1,,,,,,,,,,,,,,,1,
Delta 8 is becoming a bigger probpem,,,,,,,,,,,,,1,,,,,,,,1
" A product can have both, but seriously the level of deceptive labeling in this product if it isn't mainly delta-8.",,,,,,,1,,,,,,,,1,1,,,,,
I stopped smoking regular thc about two months ago after smoking daily 24/7. Now I smoke a delta-8 preroll like once a week and it gets me pretty high honestly but I think my tolerance definitely reset after taking a little break. Personally I really like it though,,,,,1,,1,1,,,,,,,,,,,,,
" If delta-8 THC is legalized and taxed, and if it's 50% as potent as delta-9, should it be taxed at 50% of the D9 rate?

@MacRaeJames
 in WA says it's more complicated.",,,,,,,1,,,,,,,1,,,,,,,
" Delta 8 flower is a pretty nice solution I've found, would recommend. It's acquirable legally just about everywhere.",,,,,,,1,,,1,,,,,,,,,,,
please dont smoke delta 8 my cousin smoked it and crashed in to the dollar general,,,,,,,,,,,1,,,,,,,,,,1
" I love THC but because I work in a pharmacy I now use CBD Delta 8 and 9 are amazing substitutes. I get the best sleep of my life. 

Most people I know who do smoke are good hardworking people",,,1,,,,,,,,,,,,,,,,,1,
Nigga love him some Delta 8 lol,,,,,,,,,,,,,,,,,,,,1,
Fuck them shitty booty ahh delta 8 pens,,,,,,,,,,,,,,,,,,1,,,1
I really underestimated this delta 8 candy,,,,,,,,,,,,,,,1,,1,,,,
" edibles always make me sleepy, so I only try to use them when I realllyyyy can’t handle the pain. All about dabbing!!! Love Delta 8 when it comes from a trusted source. Dabs on dabs on dabs is def a go to during my period.",,1,1,,,,,,,,,,,,,,1,1,,1,
delta 8 pens are SOO fuckin clutch,,,,,,,,,,,,,,,,,,1,,,
yo why this delta 8 mod giving my lungs rug burn,,,,,,,,,,,1,,,,,,,,,,
Try some delta 8 edibles or vape pen. Legal in most states and a very mild buzz. It will cause a positive piss test but it’s a great way to experience the relaxing properties of thc,,1,1,,,,,,,1,,,,,,,1,1,,,
" Yeah man, Delta 8 is a good between place.",,,,,,1,1,,,,,,,,,,,,,,
If EB needs to sleep he should seriously check out a Delta 8 Indica gummy (which is legal).,,,1,,,,,,,,,,,,,,1,,,,
" I'm feeling so much better on biologics,  and the Delta 8 has helped so much",,1,,,,,,,,,,,,,,,,,,1,
I love my delta 8 vape pen a lot,,,,,,,,,,,,,,,,,,1,,1,
Delta 8 THC gummies are the only things that get me high without the negative side effects. I got the Hellfire sativa 25mg and it last soooo long if you take 2,,,,,1,,,,,,,,,,,,,,,1,
" Try delta 8. It's also legal here in Texas. I have the same problem. I'm extremely sensitive to thc. If I hold in that one tiny puff a second too long, I'm in the corner thinking about what a horrible person I am for the rest of the night.",1,,,1,1,1,,,1,,,,,,,,,,,,
delta 8 has definitely not had the same positive affects on my joint pain that actual MJ does sadly,,1,,,,,1,,,,,,,,,,,,,,
You might love Delta 8.,,,,,,,1,,,,,,,,,,,,,1,
Delta-8! I recently got d8+cbd cigs and they’re very mellow but u feel it,,,,,1,,,,,,,,,,,,,,,,
pepper is the delta-8 of spice just trust me on this one,,,,,,,1,,,,,,,,,,,,,,
Too bad he writes articles shilling that Delta 8 is bad.,,,,,,,,,,,,,,,,,,,,,1
" with all the legal CBD, Delta 8 and 10 products that would make you pop positive available, it makes no sense to punish anyone for smoking the Delta 9 THC/Pot versions on their own time (unless they come into work stoned off their ass. That's different.)",,,,,,,,,,1,,,1,,,1,,,,,
" And by day 7 (which is actually today), days are blending together, time is blending together, everything is like it was before the Delta 8. I can't focus on much of anything, nerves are through the roof, and just generally riddled with anxiety/anxiousness

I absolutely need D8",,,,1,,,,,,,1,,,,,,,,,,
And Indiana remains a cannabis desert. Won’t be at all surprised when they wake up and ban THC Delta-8 here,,,,,,,,,,,1,,,,,1,,,,,
Tried the delta 8 gummies and something about that don’t sit right with me. LEGALIZE,,,,,,,,,,1,,,,,,,1,,,,
" Even though I thankfully don’t smoke them anymore. I now go to the way-less-sketchy tobacco store down the street and pay $6 more for a cart that isn’t some concoction of the boofest delta 8 dabs ever made, horse piss, rat poison, and glycerin.",,,,,,,,,,,,1,,,,,,1,,,
DELTA 8 B CRACKHEAD SHIT I STG,,,,,,,,,,,,,,,,,,,,,1
yoo these delta 8 gummies have me sprawled out on the floor also my dad just showed me his penis,,,,,,,,,,,,,,,,,,,,,
" Yall tried that delta 8 shit, really be getting u high asl ",,,,,1,,,,,,,,,,,,,,,,
Yeah delta 8 is not the same . I’ve tried it because it’s cheaper but I’ll just stick with the dispensary,,,,,,,1,,,,,,,,,,,,,,
delta 8 more like nah i'm straight,,,,,,,,,,,,,,,,,,,,,1
I can't seem to handle full blown thc. Delta 8 is nice though,,,,,,,1,,,,,,,,,,,,,,
Definitely not my finest hour but I’ve been really enjoying Delta 8 and South Park lately,,,,,,,,,,,,,,,,,,,,1,
Used to use insomnia as an excuse to drink. Delta 8 is way better for that. Might really be pretty done with alcohol.,,,1,,,,1,,,,,,,,,,,,,,
delta 8 is actually so iconic,,,,,,,,,,,,,,,,,,,,1,
delta 8 do be making me thr*w up on accident,,,,,,,,,,,1,,,,,,,,,,
" They all ready are, this Georgia delta 8 or 9 or whatever the fuck it's called. Is no bueno.",,,,,,,1,,,,,,,,,,,,,,1
i cant believe there went and legalised mid thc juice. tf is a delta 8,,,,,,1,,,,,,,,,,,,,,,
Delta 8 is cool for 1 mins,1,,,,,,,,,,,,,,,,,,,,
Delta 8 is fabulous for my back injury pain. It’s legal in every state. My favorite brands are Koi and Area 52. You can get it at any CBD store.,,1,,,,,,,,,,,,,,,,,,1,
I feel like I’m running a scam anytime I ask people if they’ve smoked Delta 8 thc lmao,1,,,,,,,,,1,,,,,,,,,,,
" I gotta say, I am pretty impressed with Delta 8.",,,,,,,,,,,,,,,,,,,,1,
Why are people losing their lively hoods because they're intaking a federal legal substance delta 8 and full spectrum CBD. Just because the drug test can't tell the difference. Its sad and should be changed right?,,,,,,,,,,1,,,1,,,1,,,,,
" I get those delta 8 carts for $30

They do the trick",,,,,,,,,,,,,,,,,,1,,,
I had to pop delta 8 and relax,1,,,1,,,,,,,,,,,,,,,,,
" gonna be honest with myself and say that if they sold crack at the convenience store the same way they do delta 8 vapes, i would probably have tried it a couple times already",,,,,,,1,,,,1,,,,1,,,1,,,
" Accidentally took 45 mg of delta 8. 
@gladneysgirl
 send help",,,,,1,,,,,,1,,,,,,,,,,
" It’s basically a disposable delta-8 cartridge lol, delta-8 is a compound they found in the hemp (cbd) plant that’s almost the same as thc (delta-9) but the effects are less *intense*

So you get high but not out of your mind to Mars high lol",,,,,,,,,,,,,,,,,,1,,,
delta 8 aint bad tbh,,,,,,,1,,,,,,,,,,,,,1,
This delta 8 just changed me life,,,,,,,,,,,,,,,,,,,,1,
“Delta 8 is like diet weed”,,,,,,1,,,,,,,,,,,,,,,
running on Delta 8 feels like I'm trying to run through a waist high pool of gelatin,,,,,1,,,,,,,,,,,,,,,,
I been on delta 8 for a min. It’s a comfy vibe. But today she had 9...baybeee listen. Today finna be schweet!,,,,1,1,,,,,,,,,,,,,,,,
" Delta 8 might get your seltzer drinking asses high, not me. Keep that shit to yourself.",,,,,1,,,,,,,,,,,,,,,,1
