date,tweet
Aug 23,Ate a bunch on delta 8 and no effect… Texas y’all weak af
Aug 23,I think I want more delta 8 gummies
Aug 24,delta 8 gummies hit harder than delta 9 most of the time
Aug 24,I do not like smoking delta 8 anymore
Aug 24,ok delta-8 ain't too damn bad
Aug 24,Delta-8 THC has essentially made store bought weed legal in all 50 states. That is crazy to me.
Aug 24,Honestly I highly recommend dropping the carts y’all buy on the streets and picking up delta 8 it’s the same shit it’s not synthetic exact same feeling. And it’s guaranteed quality like some of the carts y’all buy fake af and you know it. Idk I like it
Aug 24,"Too many people happily using delta 8, smells like it’ll get made illegal real soon"
Aug 24,Help me sleep. If you don’t get anything from the CBD…try Delta 8
Aug 24,y'all this delta-8 hits hard and i only got the 300mg version - can you imagine the mayhem if i had sprung for the 1200mg?
Aug 24,Delta 8 is no longer a scam
Aug 24,"Yes, yes you do Delta 8 is a hella good time for relaxation Just DONT eat them like candy you literally will die"
Aug 25,In 10 years they’re gonna b like “if you consumed delta 8 you may be entitled to compensation”
Aug 25,im addicted to gas station delta 8.
Aug 25,I love Delta 8 gummies so much
Aug 25,STOPPP I got a delta 8 edible and just got so high and paranoid I’m shaking BRUDHDHHDJK
Aug 25,And I actually don’t smoke because I’m vain and terrified of shit like lung cancer. I get my lil Delta 8 and 10 from the hippie white folk stores.
Aug 25,"We've been giving Delta-8 a whirl, and I can report that, while it is weak, it is too strong to stay legal in Indiana for long. Go score that mild buzz while you can."
Aug 25,delta 8 not too bad
Aug 25,delta 8 lowkey be having me on my ass
Aug 25,Welcome to Texas where weed is illegal but you can buy delta 8 at antique stores.
Aug 25,The way I was cross faded yesterday after having delta 8 gummies and drinking about 5 beers probs the best combination ever
Aug 26,got a delta 8 cart for sleep
Aug 26,god bless delta 8
Aug 26,"Yeah sorry, I’m not gonna sit here and get excited and grateful for delta-8 tetrahydrocannabinol (THC). That’s like being friends with my ex, disappointing and incredibly patronizing. Honestly not happy with the legal cannabis movement until ALL criminal records are expunged."
Aug 26,"men get so uncomfortable when i have to explain the difference of thc, delta-8, and cbd to them at work… theyre always like “this is so weird i feel like im talking about weed with my daughter!” like okay??"
Aug 26,Just ate 600 mg delta 8 edible. See if this makes me feel again
Aug 26,"Delta 8 THC enhances sleep & boosts your dreams, unlike marijuana “Delta 9” that disables REM sleep and any power to lucid dream or access its states & I feel like I have the biggest portion of my life back."
Aug 26,delta 8 is so good idc
Aug 26,i love delta 8
Aug 26,"My buddy sent me a link to give people who want some of his 500mg delta 8 gummies for less than $15 a piece, get with me if yer curious and I’ll send it to you. They smack"
Aug 26,300mg delta 8 edible turns me into a waffle
Aug 27,"Can't find a job that pays well and will let me sit down, because those jobs all require drug tests or a degree. Can't pass a drug test because I'm in pain all the time from my intensely physical housekeeping job and use Delta 8 to cope."
Aug 27,Just ripped 300mg of some delta 8 gummies..I’ll catch yall sometime tomorrow afternoon
Aug 27,Started smoking the Delta 8 stuff in Texas. It's nice being able to get legal stuff here but it doesn't compare to the real deal.
Aug 27,"Some people use Delta 8 for sleep & I can see how it could be helpful for that. I find it reduces anxiety & it's easier to clear things from your mind. It really doesn't make me directly sleepy like melatonin does, melatonin is also cheaper for the amount I have to take."
Aug 27,First time trying Delta 8. Am I just really out of the loop? Why am I just learning about it?
Aug 27,"Anybody here ever tried Delta 8? I'm wondering if there's a point where that didn't finishing returns. Like I can tell the difference between nothing and 250 mg, but going up to over a thousand doesn't seem to make a whole lot of difference."
Aug 27,I’m about to take a flower break and move on to delta 8 tincture and edibles.
Aug 27,"try delta 8 or delta X...all the benefits and no headaches, hang overs, waste of money, bad choices, liver damage etc. If you consume rather than smoke it can last 8 hours"
Aug 27,Obviously someone can get better cabbage than this Delta 8 shit in the Quay!
Aug 27,"Upon further reflection and ingestion of sativa-based delta 8 strains, I will be posting a longer, more comprehensive version of The SPERM Act sometime this weekend, as well as a letter introducing the bill to potentially friendly legislators"
Aug 28,I’m trying a delta 8 cart now and I don’t think it’s doing much?
Aug 28,Time to Medicate with Delta 8
Aug 28,"I remember the 1st time I tried Delta 8 for a migraine. It worked really well. But I didn't know you shouldn't vape on it all day long like a nicotine vape. Yeah, heady is a good word. LOL"
Aug 28,Delta 8 and paxil is what helped and continues to help me ♡ sending all the good vibes
Aug 28,That delta 8 shit gets me fucked up
Aug 28,"If it says something like ""Grape Ape"" that usually is referring to the strain that it's derived from, not the flavor. Common misconception. Delta 8 does have a lot of benefits, particularly for folks with cancer that it was intended for. What I hate is it gets abused like so..."
Aug 28,"I normally use Delta 8 or Dispensary grade products, but I’d be down to try out some other CBD products! My knowledge of CBD is limited at the moment"
Aug 28,Delta-8 is very similar to THC but it’s not THC ! Delta-8 is from HEMP and it will give you the same relaxing and relieving effects like CBD but will also give you a “moderate” head high.
Aug 28,Ok maybe this delta 8 hittin a little
Aug 28,y’all i took one hit off tbat delta 8 cart omfg
Aug 29,I enjoy my delta 8 edibles…hate to smoke it
Aug 29,(flash gif warning) Trying delta-8 for the first time. (Like diet THC basically) Me: Damn this shit is fake af I got scammed -ten minutes later- Me:
Aug 29,I’m starting to think they be sellin mfs delta 8 thc
Aug 29,switching from weed to delta 8 like
Aug 29,"I can't. Even indicas, and Delta 8, makes my heart beat too fast and causes anxiety. My teen years of ""better living through chemistry®"" caught up with me."
Aug 29,“ delta 8 doesn’t do anything “ okay then why did I just stare at my empty wall for 10 minutes straight
Aug 29,"I'm having a delta 8, cbd and Biscotti (real stuff strain) joint. Not fucking bad at all. Max level chill"
Aug 29,Cbd is Diet Coke and delta 8 is like Coke Zero.
Aug 29,delta 8 is not so bad this is just weed why is it legal
Aug 29,Tldr: no oversight in how they extract/synthesize delta-8. Chemist fear people are not properly prepping these products for safe consumption. Isomers of THC are not the concern.
Aug 30,hit a delta 8 pen at the vape shop and currently unable to walk in a straight line
Aug 30,is delta 8 legal? yes. does buying it feel illegal? also yes.
Aug 30,"So delta 10 is more potent than delta 8. The difference is just the location of a double bond between two carbons. People say that delta 8 gives them less of the effects that regular weed causes like anxiety, paranoia, etc. if you only use D8 and get drug tested you will still"
Aug 30,"So! After a few doses of Delta 8 over the last week, I have thoughts: First off, I thought this was going to be CBD but a bit more enhanced. I was WAAAY off. I thought it was supposed to be a placebo, but nope. It's also been beneficial to my mental (and physical?) health"
Aug 30,"Delta-8 THC should be regulated but not banned, HIA says"
Aug 30,What is delta-10? Delta-10 is a cannabinoid. Like Delta-8 the Delta-10 can get you high but it's not as potent. The researcher described delta-8 like an indica & delta-10 like a sativa #cannabis #floweroflife #marijuana #cbd #hemp
Aug 30,I can’t believe that Delta 8 shot kept me in bed until 3 pm today
Aug 30,I learned today that delta 8 is super bad for you lol i want edibles now
Aug 30,is delta-8 thc any good
Aug 30,My mama uses delta 8 I like it but I’ve read some stuff about it being unsafe
Aug 31,"Delta 8 gets me THIS high. To the point of just wanting to forget and move forward. Do yall really deserve this? Can yall earn it? Bruh, when yall 2 in the room? A thought can send me to 250mph instantly. I need real weed and a Xanax when Im with U 2"
Aug 31,"So I tried some Delta 8 I got from a friend. I took about 3/4th of a gummy. It was good stuff, and it’s legal in GA and a lot of other states. So look up info on your state, if weed isn’t legal yet."
Aug 31,"if you don't really enjoy weed, you definitely won't enjoy delta 8 but if you are in the opposite boat, I think it's surprisingly ok but just not for me"
Aug 31,i could get wraps anywhere but i drive a min to get it from this nice welcoming shop in pittsburgh. Very cool dude he gave me delta 8 edibles. They ight but he’s also from the dmv so that’s cool
Aug 31,If it’s to calm yaself and what not yes. Give it a try and stay away from delta 8
Aug 31,"I suffer from fibro and an autoimmune disorder that causes painful inflammation. Delta 8 THC, federally legal and available for purchase in Texas (unless that's another thing they ruined today) has been a miracle worker for me."
Aug 31,I was wondering who ana was. I had a rough day myself and just chewed a Delta 8 gummy. Never had luck with smaller pieces so I popped a full piece. I hope I can see sounds soon.
Aug 31,Don’t bring no delta 8 roun here
Aug 31,Is Delta-8 THC Competing with CBD? - Hemp Grower http://hempgrower.com/article/smart-start-hemp-watch-brightfield-group-delta-8-competing-with-cbd/#.YS6rnQHjuMo.twitter….
Aug 31,honestly i felt like shit until i started smoking delta 8 thc every night. improved my mood tremendously. i want to quit seroquel and desvenlafaxine so bad and not rely on psychiatric medication to survive
Sep 1,There is exactly one shop on this island that sells delta 8 and it's run by a very cool lady that I gave too much if my money too
Sep 1,I am not going to lie The delta 8 as wax kinda tastes like you mixed playdough with pure mint extract and a touch of ammonia
Sep 1,Delta-8-THC craze concerns chemists
Sep 1,yeah a little bit but that’s probably because im usually smoking the dab cartridges so i don’t think it’d be as bad with like the delta 8 flower or even low dose delta 8 edibles. the delta 8 carts are pretty potent hehe
Sep 1,"delta 8 helped me quit smoking weed, it’s got a very low thc percentage. its cbd but it has very similar effects to weed minus the anxiety and paranoia. they sell it at most smoke shops"
Sep 1,"oh so it’s like delta 8, I gotcha! unfortunately for me … I like being obliterated and paranoid"
Sep 1,A1 #chatms I’ve been experimenting with Delta-8 THC gummies. Looks promising. Legal here… for the moment….
Sep 1,Delta 8 isn’t a joke. I took 2 fat rip and did you know the human body contains enough bones to make a full human skeleton
Sep 1,My Delta 8 gummies shipped yay
Sep 1,I really like Delta 8
Sep 2,I never smoke weed and I ate two Delta 8 gummies a few months ago and I literally couldn't move. Pinned me to the floor. Next time I'll eat half a gummy. But that's different haha
Sep 2,"Delta 8 now is the saddest moment in my life he poisoned poor fucking Lee what a decade,and your using Delta 8 the worst high ever l Love you uncle Joey but if you feel them let me know I've only smoked delta 8 never ate it. I forget that your tolerance goes way down when old"
Sep 2,i got my first delta 8 cart & idk bout dis
Sep 2,Delta 8 should just be called iWeed
Sep 2,J don’t buy delta 8 pls
Sep 2,i have a huge tolerance i only feel it for like an hour no matter how much i hit. I like delta 9 extracts more but delta 8 great in the morning when i dont have any thc loaded from the other day or im running low
Sep 2,Tried delta 8 the first time n now I’m in space so success I’d say
Sep 2,This delta 8 shit coulda saved me a few trips to jail as a teen ffs
Sep 2,Delta-8 is legit
Sep 2,I am sorry caleb from podaboutlist but I am too high on delta-8 to see what you look like right now and not have a nervous breakdown
Sep 3,I picked up some delta 8 stuff and that just makes me energized and laugh. Not what I hoped for lol.
Sep 3,"Naw, your got ripped off then. Those shits are potent.
Get the Delta 8 shit from any CBD store."
Sep 3,just me n my delta 8 gummies against the world
Sep 3,wine is the delta 8 of alcohol
Sep 3,first time tryin delta 8 & must say i’m a fan
Sep 3,Delta 8 emergency successful. Back in my happy place.
Sep 3,"I'm familiar with delta 8, and 9... Didn't know they came out with #10... I wonder what the effects are."
Sep 3,"People also call the poison hotline about Delta 8. This data, without context, doesn't actually say much. Not picking a side, just saying even the right side needs to use real evidence to make a case."
Sep 3,I take a few delta 8 gummies before bed. I sleep the whole night through and no sleep paralysis. I think you need to be 21 to purchase if it’s legal in your state
Sep 3,Just bought me a new vape and Delta 8 THC. Let’s see how it works for good ole nerve damage/chronic pain
Sep 4,"i think delta 8 is funny because its like, dude weed j got legalized"
Sep 4,"In conclusion thc delta 8 is basically a ""workman's high"" which simply means it gets you there but it doesn't get you dangerously high which if people don't understand the plant... They freak out. But it's good. The effects are there EXCEPT the genuine creativity that comes from"
Sep 4,delta 8 is S tier
Sep 4,been researching this Delta-8 stuff and it's basically legal reggie LMAO
Sep 4,Just tried delta 8 how the hell they make a diet THC
Sep 4,I once accidentally bought delta 8 instead of regular and was like bruh wtf. Think I threw them away lol
Sep 4,"So angry. Betrayals. Excuses. Lies. Fear. Deceptions. Rumors. Gossip.
Its a lot to deal with. I mean there's only 4 people I can be around from my past group and Ima need actual weed for that day. Like the strong stuff, not delta 8."
Sep 4,"Waiting on my order , drnk is gonna crush it ,the delta 8 products are gonna be the gas on the fire"
Sep 4,Delta 8 just diet weed
Sep 4,If its legal where you're at Delta 8 THC has helped out with my back and muscle pain immensely. Alongside my Gabapentin and DULoxetine it's knocked it out almost completely
Sep 5,the 0G kush variant of delta 8 tastes like black liquorish and its terrible
Sep 5,If we match n u pull out some Delta 8 bitch I’m finna roast your ass & smoke my GAS by MYSELF
Sep 5,delta 8 should not be as legal as it is
Sep 5,Couple of Delta 8 gummy’s and la la land.
Sep 5,One of my neighbors has Parkinsons so bad he shakes violently. I saw him outside and he wasn't shaking at all. He told me they put him on a Delta 8 cbd and his shaking went away. He eats a piece of gummy candy a day.
Sep 5,"My Delta 8 cartridges came in. They're awesome, and legal, it's delta 8 instead of delta9 the
About half as potent but great buzz and helps my symptoms soooo much, if you haven't tried you should, especially if delta9 Is illegal in your state"
Sep 5,"i ran out too its interesting the synchronicities i see.
Have you tried Delta 8 from a smoke shop?
Its low THC Hemp flower with Terps...Gets you pretty stoned. You will thank me later."
Sep 5,Just got some delta 8 Eyes bout to try this diet weed out lmao
Sep 5,Delta 8 is Delta great
Sep 5,Never thought I’d be buying delta 8 pre rolls at a gas station. Shit low key be smackin
Sep 5,"Does delta-8 really help you sleep?.
What we know about delta-8 so far is anecdotal: We hear from MOONWLKR customers who have experienced a better night's sleep with delta-8.
The post Does delta-8 really help you sleep? appeared first on Leafly."
Sep 5,"*consumes half pound of fine ground led shavings* nah nah it's delta 8, you can buy it at the corner store. It's weed"
Sep 6,They are Delta 8 THC. I take CBD too though. Delta 9 THC is the stuff that gets you high. Delta 8 is much milder. But I still feel buzzed...
Sep 6,OK ANYONE THATS HAD DELTA 8 CAN YOU PLEASE TELL ME IF ITS DIFFERENT FROM REGULAR THC MY BODY CANT HANDLE THAT
Sep 6,"How is Delta 8 THC 100% Federally legal? I got some Delta 8 gummies in the mail today and I'm feeling pretty high.
Send help...
And ice cream."
Sep 6,I'm gonna have to check out that Delta 8- I've heard good things...
Sep 6,Tell me why delta 8 is legal if ur 18 but nobody will sell it to you unless ur 21??? Makes no sense
Sep 6,"I smoke every day, but if you take 50mg of delta-8 gummies I guarantee you're going to wake up with a weed hangover."
Sep 6,Delta 8 waste of money
Sep 6,Bro the delta-8 gummies put me in my place though. Thought I was tough guy on campus then I’m all “where’d my legs go”
Sep 6,"Lmao , I can’t with the mids , but look into delta-8 for a lighter thc experience."
Sep 6,I tried delta 8…pretty meh imo
Sep 6,"So, in talking about the perks of Delta 8 for me, it's been great. The biggest one is I am actually relaxing. Which is super weird. But, my body is relaxing. I am smiling and laughing when I put the kids to bed, even if I'm tired. I laid in bed, and felt my entire spine unknit."
Sep 6,I use delta 8 vapes! I can’t smoke regular weed much bc it gives me anxiety but this is mellow enough that it just helps the pain and helps me sleep:) I love it!
Sep 6,That delta 8 no joke
Sep 7,"Holy crap. I bought some Delta 8. I kind of assumed it would just be some nonsense that didn't do anything. I figure there's only one way to find out. But I'm definitely feeling it. It's not strong, but it's restored my faith in the world just a bit. Something that works."
Sep 7,DELTA 8 IS A GIFT FROM THE ISEKAI GODS WEED ISNT LEGAL IN KANSAS BUT FUCK WITH THE GENETIC COMPOUND AND BOOM YOU GOT LEGAL WEED WITH A NICE CBD TWIST I RECOOMEND GOING AND TRYING IT NOT SPONSERED JUST A LOVE OF #DELTA8
Sep 7,Crazy if you dont smoke weed but like weed and just cant afford it get the delta 8 vape it is cbd and like 2% thc that shit gets you litty titty
Sep 7,Ya niggas smoking delta 8 from a smoke shop? Ohh nahhh
Sep 7,"I'm doing the delta 8 stuff, which is milder than real weed but eh, it's all that's legal here in Texas."
Sep 7,I just started fucking with delta 8. I like it way better than 9 because I don’t get the paranoia
Sep 7,Delta 8 edibles are fire
Sep 7,People smoking delta 8 I just wanna know why are you such a fuckin dweeb
Sep 7,No more Delta 8 CBD bullshit.
Sep 7,"Spice was my big fucked up drug experience, you won't catch me doing anything with Delta 8"
Sep 7,Don’t underestimate delta 8 I’m fucning ZOINKED
Sep 7,I bought a delta 8 pen that I’m pretty sure was just spice suspended in vegetable oil
Sep 7,Delta 8 is gr8
Sep 7,Bro is it just me or everybody in Chicago smoke that delta 8 bullshit
Sep 8,"Okay but no cap, Delta 8 is niceee"
Sep 8,"Delta 8 is really, honest and truly, diet weed. It ain't the same
But it'll do just enough"
Sep 8,"delta 8 works man, im laid out"
Sep 8,"Delta 8 pen works wonders for me, but does give me hella munchies"
Sep 8,"Experts fear that new super CBD Delta-11 may be even more potent than Delta-8, warn of increased vibes and gas station earnings."
Sep 8,Delta 8 is better. Federally legal and actually gets you high
Sep 8,Delta 8 THC is just legal mid
Sep 8,We have a delta 8 disposable & a few delta 8 edibles and that vape knocks me on my ASS. Seriously 30 minutes later I’m sleeping like a rock.
Sep 8,Delta 8 cigarettes are so cool I just smoked 3 and now I have to go to the black lodge
Sep 8,"Edibles are the most popular way to consume Delta 8. In my opinion, 3Chi's edibles are among the very best. Try them out for yourself and let me know what you think."
Sep 9,I got some Delta 8 Diesel and this got me on a happy high
Sep 9,not that fucked if it's delta 8? 25 mg of delta 9 could destroy someone w no tolerance but that much d8 should hit like more like 12.5 mg which isn't terrible
Sep 9,"These are fire. Delta 8 edibles fire, come at me."
Sep 9,that delta-8 is no joke LMAOOOO took my ass out
Sep 9,"I think it’s kinda crazy how delta-8 is legal & literally makes me feel a lot like thc or whatever. I guess there’s a lot to it & not a whole lot is known about delta-8 like the things that are left behind in the body, but at this point why is thc still illegal here, hahaha."
Sep 9,Was off the delta 8 thinking I was in a hot dog eating contest
Sep 9,Protein shakes. Also if you’re not into weed you can try delta 8 in cart form. It’s not psychoactive and it’s good for appetite enhancement too
Sep 9,"Dude, Delta-8 wont do shit with the tolerance you have…"
Sep 9,"If you are looking for effects similar to #thc but with reduced potency, delta-8 may be for you. If you seek relief from certain symptoms and don’t want to get intoxicated, you may want to try a #cbd product."
Sep 9,"Delta 8 really be having me fucked up. And I’m drinking on top, I’m just gone start smoking fr"
Sep 9,"I am shocked at how legal Delta 8 is, because wow"
Sep 9,I've been loving delta 8!!!
Sep 9,delta 8 is so good
Sep 9,Okay so delta 8 is semi made it’s natural but still has a process so the flower is just cbd sprayed with the delta 8 which can be super super unsafe even when done correctly and never tastes good (before I knew better I tried it)
Sep 9,ummmmm. why didn’t anyone tell me delta 8 gummies are amazing
Sep 10,"i have legal delta-8 gummies and wine, life is beautiful"
Sep 10,Maaannn I had delta 8 pre rolls and them shits surprised tf outta me
Sep 10,My dad recently discovered delta 8 gummies and today he gave me half of one and said “be careful with this. You’re welcome” and winked ?????
Sep 10,"Bro if you smoke and haven’t at least looked in to Delta 8 idk what to tell you, you’re missing out. Legal, way cheaper, I haven’t looked back in months"
Sep 10,"I tried delta 8 gummies last night, I do feel like they helped me sleep! #Delta8"
