date,tweet,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound
Aug 18,"Delta-8 usually takes care of any insomnia I have, but when I want to listen to something while falling asleep it's usually old game shows.",0.139,0.075,0.786,0.1655
Aug 18,"Yeah, Delta 8 didn’t do anything positive for me either. Another hyped up product that turned out to be a let down for me.",0.225,0.0,0.775,0.7003
Aug 18,"I have chronic pain and this is the only thing that has truly helped. I've tried other CBD products. This does contain delta 8 THC, but it's very mild. I take 1/2 dropper 3-4 times a day. The site is constantly sending out 20-30% off coupon codes",0.043,0.048,0.909,-0.0516
Aug 18,"I'm in need of some Nighttime Gummies, Joe. They definitely help me sleep & ease my joint pain! I'm hoping to get to try the new Delta-8 ones you've got now soon!",0.278,0.081,0.641,0.7896
Aug 18,Do Delta 8 be hitting y’all hard or nawl?,0.0,0.167,0.833,-0.1027
Aug 18,Help! I bought a delta 8 cart and now im stuck in a treasure chest and I keep telling people my name is Gaimon!!,0.243,0.084,0.673,0.5826
Aug 18,"Cbd is an option but it makes me unable to sleep, delta 8 makes me really irritable seemingly. I might try some other smokeable herbs, I quit for like 3 weeks last winter smoking blue lotus and it wasn’t the worst. I’ve quit hard drugs, but weed seems harder??",0.058,0.216,0.726,-0.8735
Aug 18,"I think it's Illegal in Iowa, but only because they banned almost every kind of weed adjacent product after some kid killed himself after taking some K2. CBD JUST got legalized this summer. I would love it if Delta 8 was available here.",0.107,0.231,0.662,-0.775
Aug 19,Don’t sleep on the delta 8 gummies... iykyk,0.0,0.0,1.0,0.0
Aug 19,All we’re allowed to have in Bama is delta 8 bro! It sucks but I’ll take what I can get. Legalization is coming!!,0.0,0.116,0.884,-0.3871
Aug 19,"It's a fad derivative made from hemp isolate. Delta 8, Delta 10, and THC-0, and HHC are dangerous synthetics with no regulation. They are processed with harsh chemicals and acids. I'll keep to whole plant, and the entourage effect.",0.042,0.223,0.735,-0.7964
Aug 19,"lmaooo fr, delta 8 and 10 both fire",0.0,0.286,0.714,-0.34
Aug 19,I tested Delta-8 thc .. it is not a jokeeee!,0.0,0.0,1.0,0.0
Aug 19,"Tried Delta 8 for the first time the other day, its a bit different. Soon we will have the Delta 9 on the shelves. #Newyork",0.0,0.0,1.0,0.0
Aug 19,Yea honestly I quit smoking and moved on to delta 8 stuff way different great high,0.372,0.0,0.628,0.7964
Aug 19,My kids dad was injured in a shooting and delta 8 is helping with the ptsd. I wasn't a believer until now.,0.105,0.129,0.766,-0.128
Aug 19,It's not for everyone. I take it you can't appreciate the one tiny difference of Delta 9 THC from Delta 8 THC Smiling face Many people who can't smoke marijuana can consume Delta 8. It's like half the strength of Delta 9. Did you read the article? Because you would know that if you did,0.148,0.038,0.814,0.7537
Aug 19,"These delta 8 gummies are a game changer. We’ve been weening off of the kratom (we replaced pain medication with) by using the gummies. Granted we can only take, like, 1/16th of one unless we wanna go to the moon.",0.105,0.077,0.818,0.0516
Aug 20,Delta 8 gummies had me off my ass last night,0.0,0.304,0.696,-0.5423
Aug 20,But she found a vape not a flash drive? Delta 8 is unregulated diet weed basically.,0.0,0.0,1.0,0.0
Aug 20,"It’s not really a strain though. “Regular” cannabis is delta 9. Delta 8 is like diet weed. Illegal in some states, barely legal in others. It’s unregulated. Stick to the delta 9 lol.",0.216,0.099,0.685,0.312
Aug 20,YO GUYS Face with tears of joyFace with tears of joyFace with tears of joy YOU TRY DELTA 8 ITS CRAZY!!!! ITS LEGAL aT 18 Face with tears of joyFace with tears of joy BUT IM NOT ACTUALLY HIGH BUT BRO I FEEL SOMETHING #weed #delta8 #thc #stoner #stonervibes #sesh #stonerbro #cool #gogreen #reefer #skunk #SnoopDogg,0.105,0.138,0.756,0.5162
Aug 20,That delta 8 shit will have you sleep for 12 hours,0.0,0.286,0.714,-0.5574
Aug 20,“yeah delta 8 is just Weed Lite™” tru,0.0,0.0,1.0,0.0
Aug 20,took some delta 8 thc gummies a little while ago to try and help deal with SSRI side effects and relax after work Goddamn they’re kicked the fuck in baked snake,0.151,0.177,0.672,-0.25
Aug 20,After smoking delta 8 for so long my body be like bitch quit playing,0.238,0.21,0.552,-0.128
Aug 20,"umm, here ya go Karen, maybe a few drags of the Delta 8 will chill you out.",0.0,0.108,0.892,-0.1779
Aug 20,"I decided to take the @GrantBrisbee Delta 8 gummie challenge ( ok, so not a real thing but I am a HOF rationalizer); If you don’t hear from me by first pitch tomorrow check between the couch cushions.",0.084,0.0,0.916,0.1901
Aug 20,"Fatigue and Pain. Pain, spasms, baclofen, Tizanidine at bedtime, antidepressant, Medical Cannabis if I can find or grow it. Lately Delta 8 Hemp derived Thc low level, very effective for pain w/o being too stoned. Terpenes an added benefit.",0.126,0.282,0.592,-0.7827
Aug 20,Guys just don't eat delta 8 gummies. That shit made my heart race and threw me into a panic attack and the ER lol,0.091,0.325,0.584,-0.802
Aug 21,Delta 8 is like the weed we used to get in the 80's. You can smoke the shit out of it and you'll be ok.,0.293,0.0,0.707,0.8271
Aug 21,someone told me that delta 8 is giving people epilepsy,0.231,0.0,0.769,0.34
Aug 21,We sell delta 8 live resin and its really nice!,0.297,0.0,0.703,0.5244
Aug 21,It's a hot topic . ∆8 The Southern Hemp Expo was full of Delta 8.,0.0,0.0,1.0,0.0
Aug 21,Rocked off of delta 8 pens and gummies from Huck’s,0.0,0.0,1.0,0.0
Aug 21,//weed Forever grateful that delta 8 affects me as much as reg weed does,0.2,0.0,0.8,0.4588
Aug 21,My shisha guy was trying to put me on that delta 8 bullshit,0.0,0.257,0.743,-0.5859
Aug 21,I’m cryin bc delta 8 will really have u on yo asssss,0.0,0.0,1.0,0.0
Aug 21,delta 8 edibles ain’t even all that,0.0,0.0,1.0,0.0
Aug 21,delta-8 is just boneless THC,0.0,0.0,1.0,0.0
Aug 22,yeah tht delta 8 sumn else,0.355,0.0,0.645,0.296
Aug 22,You guys be getting high off delta 8? tf am I doing wrong I ate a whole bag of caramels and felt nothing,0.0,0.14,0.86,-0.4767
Aug 22,"Yo, I just wanna put this out there, Delta 8 THC fuckin works. It's honestly quite lovely.",0.353,0.0,0.647,0.796
Aug 22,Ive been completely unable to find weed so Im gonna fuck my life up on a delta-8 vape.,0.0,0.19,0.81,-0.5809
Aug 22,Delta 8 gummies had me STUCK. Neva touching that shit again,0.0,0.442,0.558,-0.7456
Aug 22,so delta 8 is pretty much indica and delta 10 is sativa and delta 9 still illegal,0.173,0.179,0.648,-0.0352
Aug 22,them delta 8 edibles ain’t no jokeeee,0.0,0.306,0.694,-0.296
Aug 22,"I am opioid dependent. No, not abuser. I have chronic pain. I want to microdose psilocybin and delta-8, but thanks to federal and state guidelines I'm not allowed to or I will lose my health care. Being sick fucking sucks. I wish we had actual options.",0.247,0.25,0.503,-0.0541
Aug 22,What is Delta-8 you may ask? A Perfect Neutral Place,0.316,0.0,0.684,0.5719
Aug 22,And delta-8 sounds like something bad but it's just weed lite basically. Does more than CBD but slightly less than regular weed.,0.073,0.094,0.833,-0.128
Aug 22,"they sell several kinds at peace street market! I also like delta 8 seltzers, I buy mine at Raleigh hemp company as an occasional splurge",0.239,0.0,0.761,0.7424
Aug 22,As an avid mary jane lover I can confirm delta 8 is whack,0.4,0.0,0.6,0.7184
Aug 22,Leafly: Find out the word on the street from @moonwlkrthc devotees on how delta-8 is helping some people find a better night’s sleep & get your hands on a free sample pack of delta-8 gummies. #ad,0.254,0.0,0.746,0.836
Aug 23,"Scientists are simply not worried about delta 8, it's completely fine. They're only worried about the byproducts of delta 8 synthesis, which is necessary to concentrate it enough",0.196,0.0,0.804,0.5952
Aug 23,Honestly i get more high off a delta 8 cart than the weed that grows around here,0.188,0.0,0.812,0.4588
Aug 23,delta 8 is life changing dude,0.0,0.0,1.0,0.0
Aug 23,these delta 8 gummies make even the most bland food taste amazing,0.275,0.0,0.725,0.5859
Aug 23,I've ate some delta 8 edibles and it was pretty alright. Prefer normal weed.,0.321,0.0,0.679,0.6369
Aug 23,"Delta 8 gummies get me right, guaranteed good sleep coming afterwards",0.244,0.0,0.756,0.4404
Aug 23,Im officially a fan of CBD and Delta 8….im on the band wagon lol,0.317,0.0,0.683,0.6249
Aug 23,Ate a bunch on delta 8 and no effect… Texas y’all weak af,0.0,0.362,0.638,-0.6249
Aug 23,I think I want more delta 8 gummies,0.245,0.0,0.755,0.0772
Aug 24,delta 8 gummies hit harder than delta 9 most of the time,0.0,0.0,1.0,0.0
Aug 24,I do not like smoking delta 8 anymore,0.0,0.297,0.703,-0.2755
Aug 24,ok delta-8 ain't too damn bad,0.709,0.0,0.291,0.7437
Aug 24,Delta-8 THC has essentially made store bought weed legal in all 50 states. That is crazy to me.,0.075,0.121,0.804,-0.2263
Aug 24,Honestly I highly recommend dropping the carts y’all buy on the streets and picking up delta 8 it’s the same shit it’s not synthetic exact same feeling. And it’s guaranteed quality like some of the carts y’all buy fake af and you know it. Idk I like it,0.214,0.141,0.645,0.4927
Aug 24,"Too many people happily using delta 8, smells like it’ll get made illegal real soon",0.281,0.166,0.553,0.3612
Aug 24,Help me sleep. If you don’t get anything from the CBD…try Delta 8,0.197,0.0,0.803,0.4019
Aug 24,y'all this delta-8 hits hard and i only got the 300mg version - can you imagine the mayhem if i had sprung for the 1200mg?,0.0,0.062,0.938,-0.1027
Aug 24,Delta 8 is no longer a scam,0.0,0.663,0.337,-0.7096
Aug 24,"Yes, yes you do Delta 8 is a hella good time for relaxation Just DONT eat them like candy you literally will die",0.363,0.182,0.455,0.7169
Aug 25,In 10 years they’re gonna b like “if you consumed delta 8 you may be entitled to compensation”,0.247,0.0,0.753,0.5574
Aug 25,im addicted to gas station delta 8.,0.0,0.0,1.0,0.0
Aug 25,I love Delta 8 gummies so much,0.512,0.0,0.488,0.6369
Aug 25,STOPPP I got a delta 8 edible and just got so high and paranoid I’m shaking BRUDHDHHDJK,0.0,0.248,0.752,-0.4522
Aug 25,And I actually don’t smoke because I’m vain and terrified of shit like lung cancer. I get my lil Delta 8 and 10 from the hippie white folk stores.,0.065,0.386,0.548,-0.9231
Aug 25,"We've been giving Delta-8 a whirl, and I can report that, while it is weak, it is too strong to stay legal in Indiana for long. Go score that mild buzz while you can.",0.189,0.076,0.735,0.5106
Aug 25,delta 8 not too bad,0.487,0.0,0.513,0.431
Aug 25,delta 8 lowkey be having me on my ass,0.0,0.333,0.667,-0.5423
Aug 25,Welcome to Texas where weed is illegal but you can buy delta 8 at antique stores.,0.116,0.133,0.751,-0.0772
Aug 25,The way I was cross faded yesterday after having delta 8 gummies and drinking about 5 beers probs the best combination ever,0.189,0.0,0.811,0.6369
Aug 26,got a delta 8 cart for sleep,0.0,0.0,1.0,0.0
Aug 26,god bless delta 8,0.831,0.0,0.169,0.5994
Aug 26,"Yeah sorry, I’m not gonna sit here and get excited and grateful for delta-8 tetrahydrocannabinol (THC). That’s like being friends with my ex, disappointing and incredibly patronizing. Honestly not happy with the legal cannabis movement until ALL criminal records are expunged.",0.305,0.185,0.51,0.7253
Aug 26,"men get so uncomfortable when i have to explain the difference of thc, delta-8, and cbd to them at work… theyre always like “this is so weird i feel like im talking about weed with my daughter!” like okay??",0.215,0.12,0.664,0.5337
Aug 26,Just ate 600 mg delta 8 edible. See if this makes me feel again,0.0,0.0,1.0,0.0
Aug 26,"Delta 8 THC enhances sleep & boosts your dreams, unlike marijuana “Delta 9” that disables REM sleep and any power to lucid dream or access its states & I feel like I have the biggest portion of my life back.",0.235,0.0,0.765,0.8176
Aug 26,delta 8 is so good idc,0.483,0.0,0.517,0.5777
Aug 26,i love delta 8,0.808,0.0,0.192,0.6369
Aug 26,"My buddy sent me a link to give people who want some of his 500mg delta 8 gummies for less than $15 a piece, get with me if yer curious and I’ll send it to you. They smack",0.098,0.0,0.902,0.3818
Aug 26,300mg delta 8 edible turns me into a waffle,0.0,0.0,1.0,0.0
Aug 27,"Can't find a job that pays well and will let me sit down, because those jobs all require drug tests or a degree. Can't pass a drug test because I'm in pain all the time from my intensely physical housekeeping job and use Delta 8 to cope.",0.045,0.071,0.884,-0.296
Aug 27,Just ripped 300mg of some delta 8 gummies..I’ll catch yall sometime tomorrow afternoon,0.0,0.0,1.0,0.0
Aug 27,Started smoking the Delta 8 stuff in Texas. It's nice being able to get legal stuff here but it doesn't compare to the real deal.,0.125,0.0,0.875,0.2846
Aug 27,"Some people use Delta 8 for sleep & I can see how it could be helpful for that. I find it reduces anxiety & it's easier to clear things from your mind. It really doesn't make me directly sleepy like melatonin does, melatonin is also cheaper for the amount I have to take.",0.197,0.031,0.772,0.8402
Aug 27,First time trying Delta 8. Am I just really out of the loop? Why am I just learning about it?,0.0,0.0,1.0,0.0
Aug 27,"Anybody here ever tried Delta 8? I'm wondering if there's a point where that didn't finishing returns. Like I can tell the difference between nothing and 250 mg, but going up to over a thousand doesn't seem to make a whole lot of difference.",0.0,0.038,0.962,-0.1419
Aug 27,I’m about to take a flower break and move on to delta 8 tincture and edibles.,0.0,0.0,1.0,0.0
Aug 27,"try delta 8 or delta X...all the benefits and no headaches, hang overs, waste of money, bad choices, liver damage etc. If you consume rather than smoke it can last 8 hours",0.066,0.298,0.636,-0.8442
Aug 27,Obviously someone can get better cabbage than this Delta 8 shit in the Quay!,0.163,0.219,0.618,-0.2481
Aug 27,"Upon further reflection and ingestion of sativa-based delta 8 strains, I will be posting a longer, more comprehensive version of The SPERM Act sometime this weekend, as well as a letter introducing the bill to potentially friendly legislators",0.191,0.055,0.754,0.659
Aug 28,I’m trying a delta 8 cart now and I don’t think it’s doing much?,0.0,0.0,1.0,0.0
Aug 28,Time to Medicate with Delta 8,0.0,0.0,1.0,0.0
Aug 28,"I remember the 1st time I tried Delta 8 for a migraine. It worked really well. But I didn't know you shouldn't vape on it all day long like a nicotine vape. Yeah, heady is a good word. LOL",0.378,0.0,0.622,0.9468
Aug 28,Delta 8 and paxil is what helped and continues to help me ♡ sending all the good vibes,0.286,0.0,0.714,0.6808
Aug 28,That delta 8 shit gets me fucked up,0.0,0.615,0.385,-0.8402
Aug 28,"If it says something like ""Grape Ape"" that usually is referring to the strain that it's derived from, not the flavor. Common misconception. Delta 8 does have a lot of benefits, particularly for folks with cancer that it was intended for. What I hate is it gets abused like so...",0.126,0.209,0.664,-0.7184
Aug 28,"I normally use Delta 8 or Dispensary grade products, but I’d be down to try out some other CBD products! My knowledge of CBD is limited at the moment",0.0,0.092,0.908,-0.3903
Aug 28,Delta-8 is very similar to THC but it’s not THC ! Delta-8 is from HEMP and it will give you the same relaxing and relieving effects like CBD but will also give you a “moderate” head high.,0.257,0.0,0.743,0.902
Aug 28,Ok maybe this delta 8 hittin a little,0.306,0.0,0.694,0.296
Aug 28,y’all i took one hit off tbat delta 8 cart omfg,0.0,0.0,1.0,0.0
Aug 29,I enjoy my delta 8 edibles…hate to smoke it,0.348,0.0,0.652,0.4939
Aug 29,(flash gif warning) Trying delta-8 for the first time. (Like diet THC basically) Me: Damn this shit is fake af I got scammed -ten minutes later- Me:,0.0,0.304,0.696,-0.8765
Aug 29,I’m starting to think they be sellin mfs delta 8 thc,0.0,0.0,1.0,0.0
Aug 29,switching from weed to delta 8 like,0.333,0.0,0.667,0.3612
Aug 29,"I can't. Even indicas, and Delta 8, makes my heart beat too fast and causes anxiety. My teen years of ""better living through chemistry®"" caught up with me.",0.098,0.057,0.845,0.296
Aug 29,“ delta 8 doesn’t do anything “ okay then why did I just stare at my empty wall for 10 minutes straight,0.184,0.087,0.728,0.25
Aug 29,"I'm having a delta 8, cbd and Biscotti (real stuff strain) joint. Not fucking bad at all. Max level chill",0.146,0.0,0.854,0.4708
Aug 29,Cbd is Diet Coke and delta 8 is like Coke Zero.,0.217,0.0,0.783,0.3612
Aug 29,delta 8 is not so bad this is just weed why is it legal,0.316,0.0,0.684,0.6229
Aug 29,Tldr: no oversight in how they extract/synthesize delta-8. Chemist fear people are not properly prepping these products for safe consumption. Isomers of THC are not the concern.,0.09,0.167,0.743,-0.3612
Aug 30,hit a delta 8 pen at the vape shop and currently unable to walk in a straight line,0.119,0.0,0.881,0.2263
Aug 30,is delta 8 legal? yes. does buying it feel illegal? also yes.,0.406,0.202,0.392,0.3939
Aug 30,"So delta 10 is more potent than delta 8. The difference is just the location of a double bond between two carbons. People say that delta 8 gives them less of the effects that regular weed causes like anxiety, paranoia, etc. if you only use D8 and get drug tested you will still",0.043,0.149,0.808,-0.7297
Aug 30,"So! After a few doses of Delta 8 over the last week, I have thoughts: First off, I thought this was going to be CBD but a bit more enhanced. I was WAAAY off. I thought it was supposed to be a placebo, but nope. It's also been beneficial to my mental (and physical?) health",0.083,0.0,0.917,0.63
Aug 30,"Delta-8 THC should be regulated but not banned, HIA says",0.264,0.0,0.736,0.4973
Aug 30,What is delta-10? Delta-10 is a cannabinoid. Like Delta-8 the Delta-10 can get you high but it's not as potent. The researcher described delta-8 like an indica & delta-10 like a sativa #cannabis #floweroflife #marijuana #cbd #hemp,0.21,0.0,0.79,0.8047
Aug 30,I can’t believe that Delta 8 shot kept me in bed until 3 pm today,0.0,0.0,1.0,0.0
Aug 30,I learned today that delta 8 is super bad for you lol i want edibles now,0.39,0.171,0.439,0.5423
Aug 30,is delta-8 thc any good,0.42,0.0,0.58,0.4404
Aug 30,My mama uses delta 8 I like it but I’ve read some stuff about it being unsafe,0.111,0.0,0.889,0.1901
Aug 31,"Delta 8 gets me THIS high. To the point of just wanting to forget and move forward. Do yall really deserve this? Can yall earn it? Bruh, when yall 2 in the room? A thought can send me to 250mph instantly. I need real weed and a Xanax when Im with U 2",0.0,0.051,0.949,-0.3485
Aug 31,"So I tried some Delta 8 I got from a friend. I took about 3/4th of a gummy. It was good stuff, and it’s legal in GA and a lot of other states. So look up info on your state, if weed isn’t legal yet.",0.211,0.0,0.789,0.7964
Aug 31,"if you don't really enjoy weed, you definitely won't enjoy delta 8 but if you are in the opposite boat, I think it's surprisingly ok but just not for me",0.217,0.112,0.671,0.5581
Aug 31,i could get wraps anywhere but i drive a min to get it from this nice welcoming shop in pittsburgh. Very cool dude he gave me delta 8 edibles. They ight but he’s also from the dmv so that’s cool,0.319,0.0,0.681,0.9433
Aug 31,If it’s to calm yaself and what not yes. Give it a try and stay away from delta 8,0.118,0.115,0.767,0.0108
Aug 31,"I suffer from fibro and an autoimmune disorder that causes painful inflammation. Delta 8 THC, federally legal and available for purchase in Texas (unless that's another thing they ruined today) has been a miracle worker for me.",0.116,0.268,0.615,-0.7845
Aug 31,I was wondering who ana was. I had a rough day myself and just chewed a Delta 8 gummy. Never had luck with smaller pieces so I popped a full piece. I hope I can see sounds soon.,0.09,0.077,0.834,0.1078
Aug 31,Don’t bring no delta 8 roun here,0.0,0.306,0.694,-0.296
Aug 31,Is Delta-8 THC Competing with CBD? - Hemp Grower http://hempgrower.com/article/smart-start-hemp-watch-brightfield-group-delta-8-competing-with-cbd/#.YS6rnQHjuMo.twitter….,0.0,0.0,1.0,0.0
Aug 31,honestly i felt like shit until i started smoking delta 8 thc every night. improved my mood tremendously. i want to quit seroquel and desvenlafaxine so bad and not rely on psychiatric medication to survive,0.235,0.187,0.578,0.0263
Sep 1,There is exactly one shop on this island that sells delta 8 and it's run by a very cool lady that I gave too much if my money too,0.094,0.0,0.906,0.3804
Sep 1,I am not going to lie The delta 8 as wax kinda tastes like you mixed playdough with pure mint extract and a touch of ammonia,0.092,0.0,0.908,0.3008
Sep 1,Delta-8-THC craze concerns chemists,0.0,0.348,0.652,-0.1531
Sep 1,yeah a little bit but that’s probably because im usually smoking the dab cartridges so i don’t think it’d be as bad with like the delta 8 flower or even low dose delta 8 edibles. the delta 8 carts are pretty potent hehe,0.185,0.149,0.666,0.1901
Sep 1,"delta 8 helped me quit smoking weed, it’s got a very low thc percentage. its cbd but it has very similar effects to weed minus the anxiety and paranoia. they sell it at most smoke shops",0.0,0.168,0.832,-0.6424
Sep 1,"oh so it’s like delta 8, I gotcha! unfortunately for me … I like being obliterated and paranoid",0.238,0.334,0.428,-0.3039
Sep 1,A1 #chatms I’ve been experimenting with Delta-8 THC gummies. Looks promising. Legal here… for the moment….,0.231,0.0,0.769,0.4939
Sep 1,Delta 8 isn’t a joke. I took 2 fat rip and did you know the human body contains enough bones to make a full human skeleton,0.099,0.0,0.901,0.296
Sep 1,My Delta 8 gummies shipped yay,0.459,0.0,0.541,0.5267
Sep 1,I really like Delta 8,0.583,0.0,0.417,0.4201
Sep 2,I never smoke weed and I ate two Delta 8 gummies a few months ago and I literally couldn't move. Pinned me to the floor. Next time I'll eat half a gummy. But that's different haha,0.121,0.0,0.879,0.6124
Sep 2,"Delta 8 now is the saddest moment in my life he poisoned poor fucking Lee what a decade,and your using Delta 8 the worst high ever l Love you uncle Joey but if you feel them let me know I've only smoked delta 8 never ate it. I forget that your tolerance goes way down when old",0.122,0.152,0.726,-0.2025
Sep 2,i got my first delta 8 cart & idk bout dis,0.0,0.167,0.833,-0.1027
Sep 2,Delta 8 should just be called iWeed,0.0,0.0,1.0,0.0
Sep 2,J don’t buy delta 8 pls,0.302,0.0,0.698,0.0772
Sep 2,i have a huge tolerance i only feel it for like an hour no matter how much i hit. I like delta 9 extracts more but delta 8 great in the morning when i dont have any thc loaded from the other day or im running low,0.282,0.087,0.631,0.8223
Sep 2,Tried delta 8 the first time n now I’m in space so success I’d say,0.283,0.0,0.717,0.6948
Sep 2,This delta 8 shit coulda saved me a few trips to jail as a teen ffs,0.139,0.366,0.495,-0.6808
Sep 2,Delta-8 is legit,0.0,0.0,1.0,0.0
Sep 2,I am sorry caleb from podaboutlist but I am too high on delta-8 to see what you look like right now and not have a nervous breakdown,0.198,0.042,0.76,0.6509
Sep 3,I picked up some delta 8 stuff and that just makes me energized and laugh. Not what I hoped for lol.,0.375,0.084,0.541,0.8184
Sep 3,"Naw, your got ripped off then. Those shits are potent.
Get the Delta 8 shit from any CBD store.",0.0,0.295,0.705,-0.7717
Sep 3,just me n my delta 8 gummies against the world,0.0,0.0,1.0,0.0
Sep 3,wine is the delta 8 of alcohol,0.0,0.0,1.0,0.0
Sep 3,first time tryin delta 8 & must say i’m a fan,0.247,0.0,0.753,0.3182
Sep 3,Delta 8 emergency successful. Back in my happy place.,0.497,0.172,0.331,0.7096
Sep 3,"I'm familiar with delta 8, and 9... Didn't know they came out with #10... I wonder what the effects are.",0.0,0.0,1.0,0.0
Sep 3,"People also call the poison hotline about Delta 8. This data, without context, doesn't actually say much. Not picking a side, just saying even the right side needs to use real evidence to make a case.",0.0,0.096,0.904,-0.5423
Sep 3,I take a few delta 8 gummies before bed. I sleep the whole night through and no sleep paralysis. I think you need to be 21 to purchase if it’s legal in your state,0.049,0.072,0.879,-0.1779
Sep 3,Just bought me a new vape and Delta 8 THC. Let’s see how it works for good ole nerve damage/chronic pain,0.125,0.142,0.733,-0.1027
Sep 4,"i think delta 8 is funny because its like, dude weed j got legalized",0.375,0.0,0.625,0.6597
Sep 4,"In conclusion thc delta 8 is basically a ""workman's high"" which simply means it gets you there but it doesn't get you dangerously high which if people don't understand the plant... They freak out. But it's good. The effects are there EXCEPT the genuine creativity that comes from",0.186,0.068,0.746,0.7663
